timestamp,coin,side,size,price,value_usd,liquidated_address,liquidator_address,_exchange,exchange,symbol,value,quantity
2026-03-16T02:06:11.728476+00:00,BTC,long,0.00206,72793.0,149.95358000000002,0x91ff7d0e533f3abdb28b1a43cab11f3911582616,0x7f7959e8584060283f2276b6ba2f5c470a2fc4bc,hyperliquid,,,,
2026-03-16T01:58:01.926308+00:00,BTC,short,0.00206,72725.0,149.8135,0x198d12ecc9b499adf122eb62159dae75c6ca8002,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T01:58:01.933154+00:00,BTC,short,0.00206,72725.0,149.8135,0x198d12ecc9b499adf122eb62159dae75c6ca8002,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T01:59:02.534031+00:00,BTC,short,0.00206,72716.0,149.79496,0x4b950f84d6f56ead87f2071eb0c9e09097c4372b,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T01:59:02.543813+00:00,BTC,short,0.00206,72716.0,149.79496,0x4b950f84d6f56ead87f2071eb0c9e09097c4372b,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:05:37.557807+00:00,BTC,short,0.00205,72812.0,149.2646,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:05:38.568928+00:00,BTC,short,0.00205,72812.0,149.2646,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:02:15.147307+00:00,BTC,short,0.00205,72702.0,149.03910000000002,0xbb160cb61e694570f9d570f9fcde7c61dd2143ad,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:02:17.570978+00:00,BTC,short,0.00205,72702.0,149.03910000000002,0xbb160cb61e694570f9d570f9fcde7c61dd2143ad,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
2026-03-16T02:06:11.735155+00:00,BTC,short,0.00204,72795.0,148.5018,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0xd8592afc09c864df215d8012122aed08e4ae453f,hyperliquid,,,,
