exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,SHORT,76202.26,73271.4,1.04,1773619403414,binance,,,
,BTC,SHORT,4025.824,73196.8,0.055,1773619303413,binance,LIMIT,72900.6,FILLED
binance,BTC,SHORT,4025.82,73196.8,0.055,1773619303413,binance,,,
,BTC,SHORT,3658.8500000000004,73177.0,0.05,1773619333618,binance,LIMIT,72917.4,FILLED
binance,BTC,SHORT,3658.85,73177.0,0.05,1773619333618,binance,,,
,BTC,SHORT,2346.74,73335.7,0.032,1773619403444,bybit,,,
binance,BTC,SHORT,1464.58,73229.2,0.02,1773619398176,binance,,,
binance,BTC,SHORT,952.42,73263.0,0.013,1773619402182,binance,,,
,BTC,SHORT,805.92,73265.6,0.011,1773619567944,bybit,,,
,BTC,SHORT,366.71,73342.4,0.005,1773619403944,bybit,,,
,BTC,SHORT,299.18,72971.7,0.41,1773619401332,okx,,,
