symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
BTC,SHORT,4429.308,73821.8,0.06,1773662167160,LIMIT,73528.7,FILLED,binance,,,,,
,long,,73590.0,,2026-03-16T11:49:54.449133+00:00,,,,hyperliquid,BTC,0.00627,461.40930000000003,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x7ddd43af2533f36c67c0fa7c743ebd8584724d3c
,long,,73590.0,,2026-03-16T11:49:54.449323+00:00,,,,hyperliquid,BTC,0.00627,461.40930000000003,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x7ddd43af2533f36c67c0fa7c743ebd8584724d3c
,long,,73579.0,,2026-03-16T11:52:24.448885+00:00,,,,hyperliquid,BTC,0.00582,428.22977999999995,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,73579.0,,2026-03-16T11:52:27.356607+00:00,,,,hyperliquid,BTC,0.00582,428.22977999999995,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,73605.0,,2026-03-16T11:47:54.574843+00:00,,,,hyperliquid,BTC,0.00567,417.34035,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xf8c5362479968e9b9643c9f3b93fbaf3db008acd
,long,,73605.0,,2026-03-16T11:47:54.610771+00:00,,,,hyperliquid,BTC,0.00567,417.34035,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xf8c5362479968e9b9643c9f3b93fbaf3db008acd
,long,,73525.0,,2026-03-16T11:54:24.528028+00:00,,,,hyperliquid,BTC,0.00553,406.59325,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,long,,73525.0,,2026-03-16T11:54:24.532850+00:00,,,,hyperliquid,BTC,0.00553,406.59325,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,long,,73560.0,,2026-03-16T11:53:24.469487+00:00,,,,hyperliquid,BTC,0.00543,399.4308,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xc8264ebc379e26946e7d31ae4746c27182849755
,long,,73560.0,,2026-03-16T11:53:24.476522+00:00,,,,hyperliquid,BTC,0.00543,399.4308,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xc8264ebc379e26946e7d31ae4746c27182849755
,long,,73588.0,,2026-03-16T11:47:24.618786+00:00,,,,hyperliquid,BTC,0.00538,395.90344,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480
,long,,73588.0,,2026-03-16T11:47:24.624203+00:00,,,,hyperliquid,BTC,0.00538,395.90344,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480
,long,,73588.0,,2026-03-16T11:49:24.586791+00:00,,,,hyperliquid,BTC,0.00538,395.90344,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xfbe6bb269f1e3cb3b303e336040025fed23328d8
,long,,73588.0,,2026-03-16T11:49:25.626596+00:00,,,,hyperliquid,BTC,0.00538,395.90344,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xfbe6bb269f1e3cb3b303e336040025fed23328d8
,long,,73573.0,,2026-03-16T11:51:54.454957+00:00,,,,hyperliquid,BTC,0.00523,384.78679,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xe29d84a6f37858d7f8017be454ee35726511e525
,long,,73573.0,,2026-03-16T11:51:54.455630+00:00,,,,hyperliquid,BTC,0.00523,384.78679,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xe29d84a6f37858d7f8017be454ee35726511e525
,long,,73527.0,,2026-03-16T11:53:54.515680+00:00,,,,hyperliquid,BTC,0.00508,373.51716000000005,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e
,long,,73527.0,,2026-03-16T11:53:54.524252+00:00,,,,hyperliquid,BTC,0.00508,373.51716000000005,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e
,long,,73588.0,,2026-03-16T11:48:54.465324+00:00,,,,hyperliquid,BTC,0.00468,344.39184,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xde778c034e96ccfcd0fcf5a5bebf1f71dae07aac
,long,,73588.0,,2026-03-16T11:48:54.472597+00:00,,,,hyperliquid,BTC,0.00468,344.39184,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xde778c034e96ccfcd0fcf5a5bebf1f71dae07aac
,long,,73561.0,,2026-03-16T11:50:24.390541+00:00,,,,hyperliquid,BTC,0.00468,344.26548,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x162cc7c861ebd0c06b3d72319201150482518185
,long,,73561.0,,2026-03-16T11:50:26.770966+00:00,,,,hyperliquid,BTC,0.00468,344.26548,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x162cc7c861ebd0c06b3d72319201150482518185
,long,,73528.0,,2026-03-16T11:55:54.430501+00:00,,,,hyperliquid,BTC,0.0044,323.52320000000003,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e
,long,,73528.0,,2026-03-16T11:55:55.953559+00:00,,,,hyperliquid,BTC,0.0044,323.52320000000003,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e
,long,,73573.0,,2026-03-16T11:51:25.364097+00:00,,,,hyperliquid,BTC,0.00419,308.27087,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xf8c5362479968e9b9643c9f3b93fbaf3db008acd
,long,,73573.0,,2026-03-16T11:51:26.391529+00:00,,,,hyperliquid,BTC,0.00419,308.27087,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xf8c5362479968e9b9643c9f3b93fbaf3db008acd
,short,,73604.0,,2026-03-16T11:47:50.277779+00:00,,,,hyperliquid,BTC,0.0041,301.7764,0xb3a38662575bdf1541013ce987934dba919851ea,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
