symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
,short,,71387.0,,2026-03-15T20:28:17.479786+00:00,hyperliquid,BTC,0.03225,2302.23075,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71497.0,,2026-03-15T20:30:13.141196+00:00,hyperliquid,BTC,0.03196,2285.04412,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71497.0,,2026-03-15T20:30:15.314670+00:00,hyperliquid,BTC,0.03196,2285.04412,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71410.0,,2026-03-15T20:29:07.848800+00:00,hyperliquid,BTC,0.03142,2243.7021999999997,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71410.0,,2026-03-15T20:29:07.857470+00:00,hyperliquid,BTC,0.03142,2243.7021999999997,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71387.0,,2026-03-15T20:28:06.630929+00:00,hyperliquid,BTC,0.02694,1923.1657799999998,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71387.0,,2026-03-15T20:28:09.515195+00:00,hyperliquid,BTC,0.02694,1923.1657799999998,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71404.0,,2026-03-15T20:28:42.255092+00:00,hyperliquid,BTC,0.02261,1614.4444400000002,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71404.0,,2026-03-15T20:28:42.293270+00:00,hyperliquid,BTC,0.02261,1614.4444400000002,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71404.0,,2026-03-15T20:28:44.085570+00:00,hyperliquid,BTC,0.00965,689.0486000000001,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71404.0,,2026-03-15T20:28:46.154307+00:00,hyperliquid,BTC,0.00965,689.0486000000001,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51,0x504f4f997a233873949ab352051ea3ffabd10b7e
BTC,SHORT,360.23,72046.5,0.005,1773606655444,bybit,,,,,
,short,,71396.0,,2026-03-15T20:28:05.449957+00:00,hyperliquid,BTC,0.003,214.18800000000002,0x31dea2516beee92135b96f464eeec3cf292a13f2,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71396.0,,2026-03-15T20:28:06.625777+00:00,hyperliquid,BTC,0.003,214.18800000000002,0x31dea2516beee92135b96f464eeec3cf292a13f2,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71410.0,,2026-03-15T20:29:05.324387+00:00,hyperliquid,BTC,0.00084,59.9844,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71410.0,,2026-03-15T20:29:07.848189+00:00,hyperliquid,BTC,0.00084,59.9844,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71665.0,,2026-03-15T20:31:10.570913+00:00,hyperliquid,BTC,0.00039,27.94935,0xc8264ebc379e26946e7d31ae4746c27182849755,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71665.0,,2026-03-15T20:31:10.897740+00:00,hyperliquid,BTC,0.00039,27.94935,0xc8264ebc379e26946e7d31ae4746c27182849755,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71613.0,,2026-03-15T20:31:40.402014+00:00,hyperliquid,BTC,0.00039,27.92907,0x023a3d058020fb76cca98f01b3c48c8938a22355,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71613.0,,2026-03-15T20:31:43.270189+00:00,hyperliquid,BTC,0.00039,27.92907,0x023a3d058020fb76cca98f01b3c48c8938a22355,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71490.0,,2026-03-15T20:30:10.324835+00:00,hyperliquid,BTC,0.00039,27.8811,0x54e3f54df4b10ff63f7284733ed735e8e1507c20,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71490.0,,2026-03-15T20:30:10.551108+00:00,hyperliquid,BTC,0.00039,27.8811,0x54e3f54df4b10ff63f7284733ed735e8e1507c20,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71479.0,,2026-03-15T20:23:10.362874+00:00,hyperliquid,BTC,0.00039,27.87681,0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71479.0,,2026-03-15T20:23:10.369857+00:00,hyperliquid,BTC,0.00039,27.87681,0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71467.0,,2026-03-15T20:22:41.373186+00:00,hyperliquid,BTC,0.00039,27.87213,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71467.0,,2026-03-15T20:22:41.719630+00:00,hyperliquid,BTC,0.00039,27.87213,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71467.0,,2026-03-15T20:24:11.044869+00:00,hyperliquid,BTC,0.00039,27.87213,0xadc9cf23f55c6221a05a8150e5768d7c3289562f,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71467.0,,2026-03-15T20:24:11.050191+00:00,hyperliquid,BTC,0.00039,27.87213,0xadc9cf23f55c6221a05a8150e5768d7c3289562f,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71456.0,,2026-03-15T20:25:10.402704+00:00,hyperliquid,BTC,0.00039,27.86784,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71456.0,,2026-03-15T20:25:11.697359+00:00,hyperliquid,BTC,0.00039,27.86784,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
