symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
BTC,SHORT,217307.9,73939.4,2.939,1773658411945,bybit,,,,,,,,,
BTC,SHORT,158534.44,73943.3,2.144,1773658435943,bybit,,,,,,,,,
BTC,SHORT,100334.34,73883.9,1.358,1773658438497,binance,binance,,,,,,,,
BTC,SHORT,100334.3362,73883.9,1.358,1773658438497,binance,,LIMIT,73594.3,FILLED,,,,,
BTC,SHORT,54948.71,73955.2,0.743,1773658435944,bybit,,,,,,,,,
BTC,SHORT,23328.18,74057.7,0.315,1773658646444,bybit,,,,,,,,,
BTC,SHORT,13746.86,73987.4,18.58,1773658646239,okx,,,,,,,,,
BTC,SHORT,11079.38,73862.5,0.15,1773658437213,binance,binance,,,,,,,,
BTC,SHORT,11079.375,73862.5,0.15,1773658437213,binance,,LIMIT,73594.3,FILLED,,,,,
BTC,SHORT,7181.5,74036.1,0.097,1773658556443,bybit,,,,,,,,,
BTC,SHORT,6141.58,73994.9,0.083,1773658544443,bybit,,,,,,,,,
BTC,SHORT,3470.68,73844.2,0.047,1773658413069,binance,binance,,,,,,,,
BTC,SHORT,3470.6774,73844.2,0.047,1773658413069,binance,,LIMIT,73543.6,FILLED,,,,,
BTC,SHORT,2619.87,73591.9,3.56,1773658435813,okx,,,,,,,,,
BTC,SHORT,2369.78,74055.5,0.032,1773658563944,bybit,,,,,,,,,
BTC,SHORT,1700.82,73948.5,0.023,1773658436444,bybit,,,,,,,,,
BTC,SHORT,1684.81,73895.1,2.28,1773658437355,okx,,,,,,,,,
BTC,SHORT,1479.94,73997.2,0.02,1773658543943,bybit,,,,,,,,,
BTC,SHORT,1479.49,73974.4,0.02,1773658544443,bybit,,,,,,,,,
BTC,SHORT,1286.25,73922.7,1.74,1773658544104,okx,,,,,,,,,
BTC,SHORT,1182.95,73934.5,0.016,1773658412943,bybit,,,,,,,,,
BTC,SHORT,959.61,73815.9,0.013,1773658496694,binance,binance,,,,,,,,
BTC,SHORT,959.6066999999999,73815.9,0.013,1773658496694,binance,,LIMIT,73519.2,FILLED,,,,,
BTC,SHORT,812.81,73891.7,0.011,1773658440809,binance,binance,,,,,,,,
