exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,LONG,69925.81,73761.4,0.948,1773669119633,binance,,,
,BTC,LONG,69925.8072,73761.4,0.948,1773669119633,binance,LIMIT,74039.2,FILLED
binance,BTC,LONG,68434.24,73585.2,0.93,1773669295262,binance,,,
,BTC,LONG,22472.27,73559.0,30.55,1773669299137,okx,,,
binance,BTC,LONG,16406.36,73571.1,0.223,1773669299830,binance,,,
,BTC,LONG,15007.85,73567.9,0.204,1773669176943,bybit,,,
,BTC,LONG,14789.66,73580.4,0.201,1773669174944,bybit,,,
,BTC,LONG,9852.22,73524.0,0.134,1773669193944,bybit,,,
,BTC,LONG,7921.71,73621.8,10.76,1773669189704,okx,,,
,BTC,LONG,7076.9,73564.4,9.62,1773669298448,okx,,,
,BTC,LONG,6033.06,73573.9,0.082,1773669175444,bybit,,,
,BTC,LONG,4633.18,73542.5,0.063,1773669192444,bybit,,,
binance,BTC,LONG,3754.32,73614.2,0.051,1773669195190,binance,,,
,BTC,LONG,2371.97,73893.1,3.21,1773669192545,okx,,,
binance,BTC,LONG,2211.23,73707.6,0.03,1773669289259,binance,,,
binance,BTC,LONG,1986.67,73580.5,0.027,1773669298796,binance,,,
,BTC,LONG,1985.81,73548.7,0.027,1773669190444,bybit,,,
binance,BTC,LONG,1915.49,73672.6,0.026,1773669175594,binance,,,
,BTC,LONG,1819.19,73651.5,2.47,1773669173591,okx,,,
,BTC,LONG,1764.5,73520.7,0.024,1773669225943,bybit,,,
,BTC,LONG,1590.66,73641.7,2.16,1773669174596,okx,,,
binance,BTC,LONG,1472.18,73608.9,0.02,1773669202724,binance,,,
,BTC,LONG,1470.74,73537.2,0.02,1773669193944,bybit,,,
,BTC,LONG,1332.71,73630.3,1.81,1773669175778,okx,,,
,BTC,LONG,1030.56,73611.5,0.014,1773669167444,bybit,,,
,BTC,LONG,1029.63,73545.0,0.014,1773669190943,bybit,,,
binance,BTC,LONG,957.34,73641.8,0.013,1773669190244,binance,,,
,BTC,LONG,956.19,73552.7,0.013,1773669190444,bybit,,,
,BTC,LONG,691.57,73571.3,0.94,1773669294660,okx,,,
,BTC,LONG,669.58,73580.1,0.91,1773669293001,okx,,,
binance,BTC,LONG,662.42,73602.3,0.009,1773669225449,binance,,,
binance,BTC,LONG,589.48,73685.1,0.008,1773669170250,binance,,,
,BTC,LONG,516.1114,73730.2,0.007,1773669122635,binance,LIMIT,74000.0,FILLED
binance,BTC,LONG,516.11,73730.2,0.007,1773669122635,binance,,,
binance,BTC,LONG,441.94,73657.5,0.006,1773669176645,binance,,,
,BTC,LONG,426.85,73594.0,0.58,1773669193745,okx,,,
,BTC,LONG,368.952,73790.4,0.005,1773669116676,binance,LIMIT,74065.0,FILLED
binance,BTC,LONG,368.95,73790.4,0.005,1773669116676,binance,,,
binance,BTC,LONG,294.53,73632.5,0.004,1773669191266,binance,,,
,BTC,LONG,294.41,73602.5,0.004,1773669168944,bybit,,,
,BTC,LONG,294.05,73512.0,0.004,1773669293444,bybit,,,
,BTC,LONG,264.93,73590.8,0.36,1773669224652,okx,,,
,BTC,LONG,236.39,73873.1,0.32,1773669292940,okx,,,
binance,BTC,LONG,220.87,73624.5,0.003,1773669192722,binance,,,
binance,BTC,LONG,147.24,73622.1,0.002,1773669193798,binance,,,
,BTC,LONG,125.14,73613.1,0.17,1773669190742,okx,,,
,BTC,LONG,125.09,73583.5,0.17,1773669273636,okx,,,
,BTC,LONG,73.59,73585.3,0.001,1773669174944,bybit,,,
,BTC,LONG,73.58,73575.7,0.001,1773669175444,bybit,,,
,BTC,LONG,73.49,73487.4,0.001,1773669299443,bybit,,,
,BTC,LONG,7.36,73586.4,0.01,1773669226155,okx,,,
