symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status
BTC,SHORT,18518.25,74370.5,0.249,1773664382944,bybit,,,,
BTC,SHORT,10548.97,74288.5,0.142,1773664378307,binance,binance,,,
BTC,SHORT,10548.966999999999,74288.5,0.142,1773664378307,binance,,LIMIT,73986.4,FILLED
BTC,SHORT,6989.19,74353.1,0.094,1773664377443,bybit,,,,
BTC,SHORT,6728.73,74268.5,9.06,1773664362041,okx,,,,
BTC,SHORT,5575.45,74339.4,0.075,1773664355944,bybit,,,,
BTC,SHORT,4757.91,74342.3,0.064,1773664362445,bybit,,,,
BTC,SHORT,4233.32,74268.7,0.057,1773664355085,binance,binance,,,
BTC,SHORT,4233.3159,74268.7,0.057,1773664355085,binance,,LIMIT,73990.1,FILLED
BTC,SHORT,4152.84,74290.6,5.59,1773664376898,okx,,,,
BTC,SHORT,3532.93,74019.0,0.04773,1773664383838,hyperliquid,hyperliquid,,,
BTC,SHORT,3119.89,74283.0,0.042,1773664356441,binance,binance,,,
BTC,SHORT,3119.886,74283.0,0.042,1773664356441,binance,,LIMIT,73990.1,FILLED
BTC,SHORT,2305.43,74368.7,0.031,1773664383444,bybit,,,,
BTC,SHORT,2229.03,74301.0,0.03,1773664384110,binance,binance,,,
BTC,SHORT,2229.0299999999997,74301.0,0.03,1773664384110,binance,,LIMIT,74011.2,FILLED
BTC,SHORT,2182.19,73972.4,2.95,1773664361764,okx,,,,
BTC,SHORT,1634.8837999999998,74312.9,0.022,1773664397209,binance,,LIMIT,74006.8,FILLED
BTC,SHORT,1634.88,74312.9,0.022,1773664397209,binance,binance,,,
BTC,SHORT,1487.4,74370.0,0.02,1773664382944,bybit,,,,
BTC,SHORT,1361.21,74019.0,0.01839,1773664383838,hyperliquid,hyperliquid,,,
BTC,SHORT,1115.3,74353.2,0.015,1773664377943,bybit,,,,
BTC,SHORT,961.73,73979.0,0.013,1773664356928,hyperliquid,hyperliquid,,,
BTC,SHORT,743.48,74347.7,0.01,1773664377443,bybit,,,,
BTC,SHORT,594.32168,74290.21,0.008,1773664380348,binance,,LIMIT,73983.4,FILLED
BTC,SHORT,594.32,74290.21,0.008,1773664380348,binance,binance,,,
BTC,SHORT,446.2,74367.4,0.006,1773664377943,bybit,,,,
BTC,SHORT,446.18,74364.0,0.006,1773664377443,bybit,,,,
BTC,SHORT,445.72380000000004,74287.3,0.006,1773664362353,binance,,LIMIT,73967.3,FILLED
BTC,SHORT,445.72,74287.3,0.006,1773664362353,binance,binance,,,
BTC,SHORT,430.82,74279.2,0.58,1773664377106,okx,,,,
BTC,SHORT,340.4,73999.8,0.46,1773664382947,okx,,,,
BTC,SHORT,297.212,74303.0,0.004,1773664385127,binance,,LIMIT,74000.1,FILLED
BTC,SHORT,297.21,74303.0,0.004,1773664385127,binance,binance,,,
BTC,SHORT,223.05,74351.0,0.003,1773664377443,bybit,,,,
BTC,SHORT,148.72,74358.9,0.002,1773664377443,bybit,,,,
BTC,SHORT,148.7,74352.0,0.002,1773664376943,bybit,,,,
BTC,SHORT,103.56,73969.8,0.14,1773664355531,okx,,,,
BTC,SHORT,85.82,73982.0,0.00116,1773664377961,hyperliquid,hyperliquid,,,
BTC,SHORT,74.34,74340.6,0.001,1773664356444,bybit,,,,
BTC,SHORT,74.28,74281.5,0.001,1773664509943,bybit,,,,
BTC,SHORT,20.73,74019.0,0.00028,1773664383838,hyperliquid,hyperliquid,,,
BTC,SHORT,7.43,74295.0,0.01,1773664383005,okx,,,,
