exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
hyperliquid,BTC,SHORT,27912.89,72501.0,0.385,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,25608.12,72497.0,0.35323,1773614739735,hyperliquid,,,,,,,,
,BTC,SHORT,14493.3,72466.5,20.0,1773614737562,okx,,,,,,,,
,BTC,SHORT,11521.66,72783.7,15.83,1773614793829,okx,,,,,,,,
hyperliquid,BTC,SHORT,10629.64,72488.0,0.14664,1773614741561,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,9693.38,72501.0,0.1337,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,8088.21,72501.0,0.11156,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,8000.49,72501.0,0.11035,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,8000.49,72501.0,0.11035,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,7895.36,72501.0,0.1089,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,7810.53,72501.0,0.10773,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,7810.53,72501.0,0.10773,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,7553.15,72501.0,0.10418,1773614797150,hyperliquid,,,,,,,,
,BTC,SHORT,7300.73,72788.9,10.03,1773614794573,okx,,,,,,,,
,BTC,SHORT,6701.09,72837.9,0.092,1773614738444,bybit,,,,,,,,
hyperliquid,BTC,SHORT,5567.35,72501.0,0.07679,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,5015.62,72501.0,0.06918,1773614797150,hyperliquid,,,,,,,,
,BTC,SHORT,4789.02,72451.2,6.61,1773614735987,okx,,,,,,,,
hyperliquid,BTC,SHORT,4346.92,72497.0,0.05996,1773614739735,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,4204.33,72501.0,0.05799,1773614797150,hyperliquid,,,,,,,,
,BTC,SHORT,3714.73,72837.9,0.051,1773614738444,bybit,,,,,,,,
,BTC,SHORT,3419.8422000000005,72762.6,0.047,1773614739083,binance,LIMIT,72484.7,FILLED,,,,,
,BTC,SHORT,3277.41,72831.3,0.045,1773614738444,bybit,,,,,,,,
,BTC,SHORT,3060.03,72857.8,0.042,1773614825445,bybit,,,,,,,,
,BTC,SHORT,3059.46,72844.2,0.042,1773614740944,bybit,,,,,,,,
hyperliquid,BTC,SHORT,2834.79,72501.0,0.0391,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,2563.64,72501.0,0.03536,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,2563.64,72501.0,0.03536,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,2295.38,72501.0,0.03166,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,2294.66,72501.0,0.03165,1773614797150,hyperliquid,,,,,,,,
,BTC,SHORT,2185.7,72856.6,0.03,1773614824944,bybit,,,,,,,,
,BTC,SHORT,2112.52,72845.5,0.029,1773614738444,bybit,,,,,,,,
,BTC,SHORT,1966.35,72827.6,0.027,1773614738444,bybit,,,,,,,,
hyperliquid,BTC,SHORT,1548.62,72501.0,0.02136,1773614797150,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,1485.46,72497.0,0.02049,1773614739735,hyperliquid,,,,,,,,
,BTC,SHORT,1384.04,72844.4,0.019,1773614737944,bybit,,,,,,,,
,BTC,SHORT,1383.92,72837.8,0.019,1773614737944,bybit,,,,,,,,
hyperliquid,BTC,SHORT,1251.3,72497.0,0.01726,1773614739735,hyperliquid,,,,,,,,
,BTC,SHORT,873.3936000000001,72782.8,0.012,1773614741784,binance,LIMIT,72443.7,FILLED,,,,,
hyperliquid,BTC,SHORT,766.29,72497.0,0.01057,1773614739735,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,722.83,72501.0,0.00997,1773614797150,hyperliquid,,,,,,,,
,,long,,72490.0,,2026-03-15T22:47:21.309472+00:00,hyperliquid,,,,BTC,0.00992,719.1008,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x8372aa26b7130d1b8a4ad205c1f2ec9a97ab2477
,,long,,72490.0,,2026-03-15T22:47:21.333280+00:00,hyperliquid,,,,BTC,0.00992,719.1008,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x8372aa26b7130d1b8a4ad205c1f2ec9a97ab2477
,,long,,72479.0,,2026-03-15T22:48:21.462219+00:00,hyperliquid,,,,BTC,0.00992,718.99168,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,,long,,72479.0,,2026-03-15T22:48:21.468299+00:00,hyperliquid,,,,BTC,0.00992,718.99168,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,,long,,72463.0,,2026-03-15T22:45:51.460316+00:00,hyperliquid,,,,BTC,0.00992,718.83296,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x023a3d058020fb76cca98f01b3c48c8938a22355
,,long,,72463.0,,2026-03-15T22:45:51.469152+00:00,hyperliquid,,,,BTC,0.00992,718.83296,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x023a3d058020fb76cca98f01b3c48c8938a22355
,,long,,72445.0,,2026-03-15T22:49:22.040284+00:00,hyperliquid,,,,BTC,0.00992,718.6544,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x023a3d058020fb76cca98f01b3c48c8938a22355
,,long,,72445.0,,2026-03-15T22:49:22.187797+00:00,hyperliquid,,,,BTC,0.00992,718.6544,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x023a3d058020fb76cca98f01b3c48c8938a22355
,,long,,72441.0,,2026-03-15T22:46:21.599836+00:00,hyperliquid,,,,BTC,0.00992,718.61472,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5
,,long,,72441.0,,2026-03-15T22:46:21.677408+00:00,hyperliquid,,,,BTC,0.00992,718.61472,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5
