symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange,coin,size,value_usd,address,pnl
BTC,LONG,961.0809,73929.3,0.013,1773670988824,LIMIT,74210.8,FILLED,binance,,,,,,
BTC,LONG,961.08,73929.3,0.013,1773670988824,,,,binance,binance,,,,,
BTC,LONG,221.3505,73783.5,0.003,1773671064089,LIMIT,74064.5,FILLED,binance,,,,,,
BTC,LONG,221.35,73783.5,0.003,1773671064089,,,,binance,binance,,,,,
BTC,LONG,147.6,73798.4,0.002,1773671056831,,,,binance,binance,,,,,
BTC,LONG,147.5968,73798.4,0.002,1773671056831,LIMIT,74084.9,FILLED,binance,,,,,,
,long,,74058.0,,2026-03-16T14:25:33.624000,,,,hyperliquid,,BTC,0.00188,139.23,0x673b836e...,3.4
BTC,LONG,139.23,74058.0,0.00188,1773671133624,,,,hyperliquid,hyperliquid,,,,,
BTC,LONG,73.63,73626.3,0.001,1773671242460,,,,bybit,,,,,,
BTC,LONG,7.37,73685.8,0.01,1773671249958,,,,okx,,,,,,
