exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
okx,BTC,LONG,197778.84,72242.7,273.77,1773616993524,okx,,,
bybit,BTC,LONG,63054.82,72145.1,0.874,1773616997944,bybit,,,
bybit,BTC,LONG,23151.8,72124.0,0.321,1773617001444,bybit,,,
,BTC,LONG,11111.85,72721.5,15.28,1773616906220,okx,,,
,BTC,LONG,9397.53,72455.9,12.97,1773616715669,okx,,,
bybit,BTC,LONG,9229.72,72107.2,0.128,1773617001944,bybit,,,
,BTC,LONG,6304.79,72302.6,8.72,1773616977018,okx,,,
okx,BTC,LONG,5590.18,72224.5,7.74,1773616994932,okx,,,
okx,BTC,LONG,5155.33,72203.5,7.14,1773616996444,okx,,,
binance,BTC,LONG,4639.8,72496.8,0.064,1773616715515,binance,,,
,BTC,LONG,4639.7952000000005,72496.8,0.064,1773616715515,binance,LIMIT,72763.9,FILLED
,BTC,LONG,4171.51,72674.4,5.74,1773616966313,okx,,,
bybit,BTC,LONG,3895.97,72147.5,0.054,1773616997944,bybit,,,
,BTC,LONG,3500.55,72625.6,4.82,1773616975285,okx,,,
okx,BTC,LONG,2608.38,72254.4,3.61,1773616992682,okx,,,
bybit,BTC,LONG,1369.9,72100.1,0.019,1773617001444,bybit,,,
,BTC,LONG,1083.75,72249.9,0.015,1773616975944,bybit,,,
,BTC,SHORT,1020.09,72863.6,1.4,1773616825411,okx,,,
,BTC,LONG,950.72,72573.7,1.31,1773616978027,okx,,,
,BTC,SHORT,805.22,73202.2,0.011,1773616835944,bybit,,,
bybit,BTC,LONG,793.1,72099.6,0.011,1773617001944,bybit,,,
,BTC,LONG,723.08,72307.9,0.01,1773616965944,bybit,,,
,BTC,LONG,632.11,72655.9,0.87,1773616973100,okx,,,
bybit,BTC,LONG,433.16,72193.1,0.006,1773616991944,bybit,,,
okx,BTC,LONG,399.08,72560.0,0.55,1773616980657,okx,,,
bybit,BTC,LONG,144.39,72194.8,0.002,1773616992444,bybit,,,
,BTC,LONG,130.68,72597.7,0.18,1773616976699,okx,,,
okx,BTC,LONG,86.97,72474.6,0.12,1773617001188,okx,,,
okx,BTC,LONG,86.72,72266.8,0.12,1773616991440,okx,,,
,BTC,LONG,72.39,72386.8,0.001,1773616904944,bybit,,,
,BTC,LONG,72.24,72235.7,0.001,1773616977445,bybit,,,
,BTC,LONG,72.24,72240.9,0.001,1773616976445,bybit,,,
,BTC,LONG,72.22,72220.5,0.001,1773616978944,bybit,,,
bybit,BTC,LONG,72.12,72121.5,0.001,1773617000944,bybit,,,
