timestamp,coin,side,size,price,value_usd,address,pnl,_exchange,symbol,value,quantity,exchange,order_type,avg_price,order_status
2026-03-16T08:30:43.538000,BTC,long,0.54609,73248.0,40000.0,0xe46235da...,-481.65,hyperliquid,,,,,,,
2026-03-16T08:30:43.538000,BTC,long,0.12,73248.0,8789.76,0xe46235da...,-105.84,hyperliquid,,,,,,,
2026-03-16T08:30:43.538000,BTC,long,0.06729,73248.0,4928.86,0xe46235da...,-59.35,hyperliquid,,,,,,,
1773650061634,,LONG,,72906.5,,,,okx,BTC,4068.18,5.58,,,,
2026-03-16T08:34:23.827000,BTC,long,0.0463,73194.0,3388.88,0x6a184384...,-40.42,hyperliquid,,,,,,,
1773650063827,,LONG,,73194.0,,,,hyperliquid,BTC,3388.88,0.0463,hyperliquid,,,
2026-03-16T08:30:43.538000,BTC,long,0.03001,73248.0,2198.17,0xdbd75dad...,-27.02,hyperliquid,,,,,,,
2026-03-16T08:31:06.042000,BTC,long,0.0268,73244.0,1962.94,0x0dc3049f...,-22.4,hyperliquid,,,,,,,
2026-03-16T08:30:43.538000,BTC,long,0.0217,73248.0,1589.48,0xdbd75dad...,-19.53,hyperliquid,,,,,,,
2026-03-16T08:34:11.238000,BTC,long,0.01783,73200.0,1305.16,0x7b248b81...,-15.8,hyperliquid,,,,,,,
2026-03-16T08:30:40.674000,BTC,long,0.01506,73247.0,1103.1,0x6766ecc7...,-13.43,hyperliquid,,,,,,,
2026-03-16T08:31:06.042000,BTC,long,0.01325,73244.0,970.48,0x6ccd4731...,-11.55,hyperliquid,,,,,,,
1773650061584,,LONG,,72906.1,,,,binance,BTC,947.78,0.013,binance,,,
1773650061584,,LONG,,72906.1,,,,binance,BTC,947.7793,0.013,,LIMIT,73196.8,FILLED
2026-03-16T08:31:09.069000,BTC,long,0.00985,73221.0,721.23,0x55ecce71...,-10.22,hyperliquid,,,,,,,
2026-03-16T08:31:06.042000,BTC,long,0.00593,73244.0,434.34,0xfca2a5d0...,-5.31,hyperliquid,,,,,,,
2026-03-16T08:34:11.238000,BTC,long,0.00573,73200.0,419.44,0x748a1af4...,-5.07,hyperliquid,,,,,,,
2026-03-16T08:34:23.827000,BTC,long,0.00484,73194.0,354.26,0x8f0c1c9f...,-4.24,hyperliquid,,,,,,,
1773650063827,,LONG,,73194.0,,,,hyperliquid,BTC,354.26,0.00484,hyperliquid,,,
2026-03-16T08:31:06.042000,BTC,long,0.0038,73244.0,278.33,0xde08c5e9...,-3.31,hyperliquid,,,,,,,
2026-03-16T08:31:09.069000,BTC,long,0.00338,73221.0,247.49,0x64218c23...,-3.13,hyperliquid,,,,,,,
2026-03-16T08:30:43.538000,BTC,long,0.00296,73248.0,216.81,0xe46235da...,-2.61,hyperliquid,,,,,,,
2026-03-16T08:34:11.238000,BTC,long,0.00241,73200.0,176.41,0xc86af8b0...,-2.1,hyperliquid,,,,,,,
2026-03-16T08:30:40.674000,BTC,long,0.00169,73247.0,123.79,0x048b1269...,-1.54,hyperliquid,,,,,,,
2026-03-16T08:31:09.069000,BTC,long,0.001,73221.0,73.22,0x64218c23...,-0.93,hyperliquid,,,,,,,
2026-03-16T08:31:09.069000,BTC,long,0.00066,73221.0,48.33,0x64218c23...,-0.61,hyperliquid,,,,,,,
2026-03-16T08:30:43.538000,BTC,long,0.00065,73248.0,47.61,0xe46235da...,-0.57,hyperliquid,,,,,,,
