exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,LONG,23452.34,73518.3,0.319,1773638075449,binance,,,
,BTC,SHORT,2971.692,74292.3,0.04,1773637946110,binance,LIMIT,73992.1,FILLED
binance,BTC,SHORT,2971.69,74292.3,0.04,1773637946110,binance,,,
binance,BTC,SHORT,1338.11,74339.2,0.018,1773638024229,binance,,,
,BTC,SHORT,1338.1055999999999,74339.2,0.018,1773638024229,binance,LIMIT,74057.6,FILLED
,BTC,SHORT,891.8327999999999,74319.4,0.012,1773637979374,binance,LIMIT,74029.3,FILLED
binance,BTC,SHORT,891.83,74319.4,0.012,1773637979374,binance,,,
,BTC,LONG,883.0404,73586.7,0.012,1773638067324,binance,LIMIT,73861.3,FILLED
binance,BTC,LONG,883.04,73586.7,0.012,1773638067324,binance,,,
,BTC,SHORT,743.0010000000001,74300.1,0.01,1773637978246,binance,LIMIT,74033.0,FILLED
binance,BTC,SHORT,743.0,74300.1,0.01,1773637978246,binance,,,
binance,BTC,SHORT,519.94,74276.6,0.007,1773637903099,binance,,,
,BTC,SHORT,519.9362000000001,74276.6,0.007,1773637903099,binance,LIMIT,73980.9,FILLED
,BTC,SHORT,223.25,74415.4,0.003,1773638024443,bybit,,,
binance,BTC,SHORT,148.54,74269.7,0.002,1773637896571,binance,,,
,BTC,SHORT,148.5394,74269.7,0.002,1773637896571,binance,LIMIT,73971.9,FILLED
