exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,SHORT,2598.57,74244.8,0.035,1773666351581,binance,,,
,BTC,SHORT,2598.568,74244.8,0.035,1773666351581,binance,LIMIT,73948.5,FILLED
,BTC,SHORT,668.3814,74264.6,0.009,1773666366738,binance,LIMIT,73974.4,FILLED
binance,BTC,SHORT,668.38,74264.6,0.009,1773666366738,binance,,,
binance,BTC,LONG,147.37,73683.7,0.002,1773666411601,binance,,,
,BTC,LONG,147.3674,73683.7,0.002,1773666411601,binance,LIMIT,73962.9,FILLED
