symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
BTC,SHORT,2736.66,73566.2,3.72,1773660813918,okx,,,,,,,,
BTC,SHORT,1476.194,73809.7,0.02,1773660957645,binance,LIMIT,73515.0,FILLED,,,,,
,long,,73573.0,,2026-03-16T11:27:55.525885+00:00,hyperliquid,,,,BTC,0.00642,472.33866,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xfcf104006bfff47695c1dc21dad3e9de1e72098e
,long,,73573.0,,2026-03-16T11:27:55.683799+00:00,hyperliquid,,,,BTC,0.00642,472.33866,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xfcf104006bfff47695c1dc21dad3e9de1e72098e
,long,,73510.0,,2026-03-16T11:30:24.483119+00:00,hyperliquid,,,,BTC,0.00636,467.5236,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb1688bcae7de088fe9f2ef1d1f79e681fc0443ed
,long,,73510.0,,2026-03-16T11:30:24.486800+00:00,hyperliquid,,,,BTC,0.00636,467.5236,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb1688bcae7de088fe9f2ef1d1f79e681fc0443ed
,long,,73516.0,,2026-03-16T11:36:24.323189+00:00,hyperliquid,,,,BTC,0.00587,431.53892,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xe92cdf7b804a836a71219cda2b00274d57ac030f
,long,,73516.0,,2026-03-16T11:36:24.618773+00:00,hyperliquid,,,,BTC,0.00587,431.53892,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xe92cdf7b804a836a71219cda2b00274d57ac030f
,long,,73512.0,,2026-03-16T11:35:54.596499+00:00,hyperliquid,,,,BTC,0.00548,402.84576,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xe92cdf7b804a836a71219cda2b00274d57ac030f
,long,,73512.0,,2026-03-16T11:35:56.044472+00:00,hyperliquid,,,,BTC,0.00548,402.84576,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xe92cdf7b804a836a71219cda2b00274d57ac030f
