symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status
BTC,SHORT,34997.9,73971.0,0.47313,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,34996.75,73942.0,0.4733,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,34202.56,74353.4,0.46,1773632294444,bybit,,,,,,,,,
BTC,SHORT,33986.18,73883.0,0.46,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,32263.6,74340.1,0.434,1773632288444,bybit,,,,,,,,,
BTC,SHORT,31855.67,73822.0,0.43152,1773632114885,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,28690.92,73822.0,0.38865,1773632114885,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,28397.22,73759.0,0.385,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,28240.11,73759.0,0.38287,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,27607.95,73822.0,0.37398,1773632114885,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,27378.62,73767.0,0.37115,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,26979.73,73822.0,0.36547,1773632114885,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,26836.1,73760.0,0.36383,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25816.0,73760.0,0.35,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25815.65,73759.0,0.35,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25815.65,73759.0,0.35,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC-USD,SHORT,25500.0,74049.1,255.0,1773632105231,okx,,,,,,,,,
BTC,SHORT,25106.57,74279.8,0.338,1773632242444,bybit,,,,,,,,,
BTC,SHORT,24765.94,73937.0,0.33496,1773632275236,hyperliquid,hyperliquid,,,,,,,,
,short,,73971.0,,2026-03-16T03:38:16.088000,hyperliquid,,BTC,0.33,24410.43,0x97d2767d...,-482.43,,,
BTC,SHORT,24410.43,73971.0,0.33,1773632296088,hyperliquid,hyperliquid,,,,,,,,
,short,,73976.0,,2026-03-16T03:38:07.225000,hyperliquid,,BTC,0.32418,23981.54,0x38a8a6f5...,-871.14,,,
BTC,SHORT,23981.54,73976.0,0.32418,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,22784.78,73883.0,0.30839,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,22784.78,73883.0,0.30839,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,22479.93,74117.8,30.33,1773632113045,okx,,,,,,,,,
BTC,SHORT,22278.09,74260.3,0.3,1773632241443,bybit,,,,,,,,,
BTC,SHORT,22183.52,73950.0,0.29998,1773632287225,hyperliquid,hyperliquid,,,,,,,,
,short,,74000.0,,2026-03-16T03:38:31.241000,hyperliquid,,BTC,0.29238,21636.12,0xaffa4daf...,-409.57,,,
BTC,SHORT,21636.12,74000.0,0.29238,1773632311241,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,21512.47,73822.0,0.29141,1773632114885,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,20738.69,73940.0,0.28048,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,20483.06,74214.0,0.276,1773632240459,bybit,,,,,,,,,
BTC,SHORT,20420.87,74257.7,0.275,1773632241443,bybit,,,,,,,,,
BTC,SHORT,20201.51,73963.0,0.27313,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,20053.07,73972.0,0.27109,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,20045.21,73943.0,0.27109,1773632278167,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,20044.12,73939.0,0.27109,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,20006.02,73943.0,0.27056,1773632275236,hyperliquid,hyperliquid,,,,,,,,
,short,,73977.0,,2026-03-16T03:38:07.225000,hyperliquid,,BTC,0.27035,19999.68,0x38a8a6f5...,-726.75,,,
BTC,SHORT,19999.68,73977.0,0.27035,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19748.37,73939.0,0.26709,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19748.23,73759.0,0.26774,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19720.58,73882.0,0.26692,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19410.76,73822.0,0.26294,1773632114885,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19326.74,73944.0,0.26137,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19294.16,74208.3,0.26,1773632114443,bybit,,,,,,,,,
BTC,SHORT,19201.2,73760.0,0.26032,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19201.2,73760.0,0.26032,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19200.94,73759.0,0.26032,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19200.94,73759.0,0.26032,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,18486.02,73950.0,0.24998,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,17521.71,73950.0,0.23694,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,17497.89,74143.6,0.236,1773632108443,bybit,,,,,,,,,
BTC,SHORT,17288.65,73940.0,0.23382,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16692.81,73862.0,22.6,1773632241154,okx,,,,,,,,,
BTC,SHORT,16433.56,74360.0,0.221,1773632294950,bybit,,,,,,,,,
BTC,SHORT,16415.27,73956.0,0.22196,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,15838.67,73933.0,0.21423,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,15446.12,74260.2,0.208,1773632241443,bybit,,,,,,,,,
BTC,SHORT,15285.94,74203.6,0.206,1773632114443,bybit,,,,,,,,,
BTC,SHORT,15236.15,73883.0,0.20622,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,15235.95,73882.0,0.20622,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,15234.53,74314.8,0.205,1773632284944,bybit,,,,,,,,,
BTC,SHORT,15012.04,73762.0,0.20352,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,14999.23,73968.0,0.20278,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,14998.4,73942.0,0.20284,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,14807.760000000002,74038.8,0.2,1773632096072,binance,,,,,,,LIMIT,73740.1,FILLED
BTC,SHORT,14807.76,74038.8,0.2,1773632096072,binance,binance,,,,,,,,
,short,,73977.0,,2026-03-16T03:38:07.225000,hyperliquid,,BTC,0.20001,14796.14,0x99ccab32...,-182.97,,,
BTC,SHORT,14796.14,73977.0,0.20001,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13944.88,73759.0,0.18906,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13944.88,73759.0,0.18906,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13566.8,74135.5,0.183,1773632106445,bybit,,,,,,,,,
BTC,SHORT,13293.76,73760.0,0.18023,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13293.58,73759.0,0.18023,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13293.58,73759.0,0.18023,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13289.34,73760.0,0.18017,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13289.16,73759.0,0.18017,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13230.12,74326.5,0.178,1773632284443,bybit,,,,,,,,,
BTC,SHORT,13089.11,73883.0,0.17716,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12845.72,74252.7,0.173,1773632240943,bybit,,,,,,,,,
BTC,SHORT,12795.11,73973.0,0.17297,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12765.55,74218.3,0.172,1773632240459,bybit,,,,,,,,,
BTC-USD,SHORT,12750.0,73912.7,127.5,1773632242306,okx,,,,,,,,,
BTC,SHORT,12538.31,74191.2,0.169,1773632112944,bybit,,,,,,,,,
BTC,SHORT,12464.44,73824.0,0.16884,1773632114885,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12416.12,73765.0,0.16832,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12354.8,73760.0,0.1675,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12253.5,73883.0,0.16585,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12141.93,73883.0,0.16434,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12141.93,73883.0,0.16434,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12141.93,73883.0,0.16434,1773632242694,hyperliquid,hyperliquid,,,,,,,,
