exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,LONG,68434.24,73585.2,0.93,1773669295262,binance,,,
,BTC,LONG,68434.236,73585.2,0.93,1773669295262,binance,LIMIT,73885.1,FILLED
,BTC,LONG,22472.27,73559.0,30.55,1773669299137,okx,,,
binance,BTC,LONG,16406.36,73571.1,0.223,1773669299830,binance,,,
,BTC,LONG,16406.355300000003,73571.1,0.223,1773669299830,binance,LIMIT,73859.4,FILLED
,BTC,LONG,7076.9,73564.4,9.62,1773669298448,okx,,,
,BTC,LONG,3895.29,73496.0,0.053,1773669299443,bybit,,,
,BTC,LONG,3832.11,73836.5,5.19,1773669365442,okx,,,
binance,BTC,LONG,2211.23,73707.6,0.03,1773669289259,binance,,,
,BTC,LONG,2211.228,73707.6,0.03,1773669289259,binance,LIMIT,73884.9,FILLED
,BTC,LONG,1986.6734999999999,73580.5,0.027,1773669298796,binance,LIMIT,73854.1,FILLED
binance,BTC,LONG,1986.67,73580.5,0.027,1773669298796,binance,,,
,BTC,LONG,1764.5,73520.7,0.024,1773669225943,bybit,,,
,BTC,LONG,1579.94,73829.2,2.14,1773669366652,okx,,,
,BTC,LONG,691.57,73571.3,0.94,1773669294660,okx,,,
,BTC,LONG,669.58,73580.1,0.91,1773669293001,okx,,,
,BTC,LONG,662.4207,73602.3,0.009,1773669225449,binance,LIMIT,73888.4,FILLED
binance,BTC,LONG,662.42,73602.3,0.009,1773669225449,binance,,,
,BTC,LONG,367.54,73508.6,0.005,1773669346944,bybit,,,
,BTC,LONG,294.05,73512.0,0.004,1773669293444,bybit,,,
,BTC,LONG,264.93,73590.8,0.36,1773669224652,okx,,,
,BTC,LONG,236.39,73873.1,0.32,1773669292940,okx,,,
,BTC,LONG,125.09,73583.5,0.17,1773669273636,okx,,,
,BTC,LONG,73.49,73487.4,0.001,1773669299443,bybit,,,
,BTC,LONG,7.36,73586.4,0.01,1773669226155,okx,,,
