symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
BTC,LONG,10865.04,72433.6,0.15,1773619903100,LIMIT,72721.9,FILLED,binance,,,,,
BTC,LONG,2029.188,72471.0,0.028,1773619879483,LIMIT,72759.1,FILLED,binance,,,,,
BTC,LONG,1303.4988,72416.6,0.018,1773619911297,LIMIT,72687.2,FILLED,binance,,,,,
BTC,LONG,941.9266999999999,72455.9,0.013,1773619884144,LIMIT,72750.9,FILLED,binance,,,,,
,long,,72745.0,,2026-03-16T00:13:00.390880+00:00,,,,hyperliquid,BTC,0.00563,409.55434999999994,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xc6ef411a92428ec7f9fc0bc8e84ee3515bfeea7e
,long,,72745.0,,2026-03-16T00:13:01.923429+00:00,,,,hyperliquid,BTC,0.00563,409.55434999999994,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xc6ef411a92428ec7f9fc0bc8e84ee3515bfeea7e
,long,,72735.0,,2026-03-16T00:11:25.303998+00:00,,,,hyperliquid,BTC,0.00562,408.7707,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,72735.0,,2026-03-16T00:11:26.316030+00:00,,,,hyperliquid,BTC,0.00562,408.7707,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,72721.0,,2026-03-16T00:12:24.414460+00:00,,,,hyperliquid,BTC,0.00562,408.69202,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e
,long,,72721.0,,2026-03-16T00:12:25.375055+00:00,,,,hyperliquid,BTC,0.00562,408.69202,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e
