exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,SHORT,14735.72,73678.6,0.2,1773658192816,binance,,,
,BTC,SHORT,1102.821,73521.4,0.015,1773658022827,binance,LIMIT,73255.7,FILLED
binance,BTC,SHORT,1102.82,73521.4,0.015,1773658022827,binance,,,
binance,BTC,SHORT,736.74,73673.7,0.01,1773658190632,binance,,,
binance,BTC,SHORT,587.91,73488.3,0.008,1773657969590,binance,,,
,BTC,SHORT,587.9064000000001,73488.3,0.008,1773657969590,binance,LIMIT,73205.1,FILLED
okx,BTC,SHORT,420.48,73767.9,0.57,1773658210621,okx,,,
,BTC,LONG,365.132,73026.4,0.005,1773658032204,binance,LIMIT,73255.6,FILLED
binance,BTC,LONG,365.13,73026.4,0.005,1773658032204,binance,,,
binance,BTC,SHORT,220.92,73639.5,0.003,1773658176159,binance,,,
binance,BTC,SHORT,147.38,73689.2,0.002,1773658194345,binance,,,
