symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
BTC,SHORT,648.59,72065.6,0.9,1773607158183,okx,,,,,,,,,
BTC,SHORT,577.04,72130.17,0.008,1773607167444,binance,binance,,,,,,,,
,short,,71637.0,,2026-03-15T20:36:30.503786+00:00,hyperliquid,,,,,BTC,0.00764,547.30668,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71637.0,,2026-03-15T20:36:30.507941+00:00,hyperliquid,,,,,BTC,0.00764,547.30668,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0x504f4f997a233873949ab352051ea3ffabd10b7e
BTC,SHORT,546.33,71885.1,0.76,1773607234012,okx,,,,,,,,,
BTC,SHORT,504.2506,72035.8,0.007,1773607077942,binance,,LIMIT,71760.1,FILLED,,,,,
BTC,SHORT,504.25,72035.8,0.007,1773607077942,binance,binance,,,,,,,,
BTC,SHORT,461.06,72041.4,0.64,1773607078282,okx,,,,,,,,,
BTC,SHORT,360.99,72198.1,0.005,1773607216944,bybit,,,,,,,,,
BTC,SHORT,360.61,72121.9,0.005,1773607155944,bybit,,,,,,,,,
BTC,SHORT,360.13,72025.5,0.005,1773607064876,binance,binance,,,,,,,,
BTC,SHORT,360.1275,72025.5,0.005,1773607064876,binance,,LIMIT,71741.7,FILLED,,,,,
BTC,SHORT,288.82,72204.6,0.004,1773607168444,bybit,,,,,,,,,
BTC,SHORT,288.78,72194.8,0.004,1773607168944,bybit,,,,,,,,,
BTC,SHORT,288.66,72166.1,0.004,1773607165943,bybit,,,,,,,,,
BTC,SHORT,244.65,71744.0,0.00341,1773607063513,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,230.76,72113.2,0.32,1773607166669,okx,,,,,,,,,
BTC,SHORT,230.6,72062.6,0.32,1773607156740,okx,,,,,,,,,
BTC,SHORT,216.53,72177.3,0.003,1773607165943,bybit,,,,,,,,,
BTC,SHORT,216.44,72145.8,0.003,1773607160445,bybit,,,,,,,,,
BTC,SHORT,216.38,72127.6,0.003,1773607155444,bybit,,,,,,,,,
BTC,SHORT,144.4,72201.9,0.002,1773607169444,bybit,,,,,,,,,
BTC,SHORT,144.37,72183.5,0.002,1773607166944,bybit,,,,,,,,,
BTC,SHORT,144.34,72170.3,0.002,1773607166444,bybit,,,,,,,,,
BTC,SHORT,144.26,72130.7,0.002,1773607170524,binance,binance,,,,,,,,
BTC,SHORT,144.01479999999998,72007.4,0.002,1773607062392,binance,,LIMIT,71737.9,FILLED,,,,,
BTC,SHORT,144.01,72007.4,0.002,1773607062392,binance,binance,,,,,,,,
BTC,SHORT,143.75,71874.0,0.2,1773607233219,okx,,,,,,,,,
BTC,SHORT,122.03,71783.3,0.17,1773607165100,okx,,,,,,,,,
BTC,SHORT,93.63,72022.2,0.13,1773607062628,okx,,,,,,,,,
,short,,71630.0,,2026-03-15T20:33:00.361609+00:00,hyperliquid,,,,,BTC,0.00113,80.94189999999999,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71630.0,,2026-03-15T20:33:01.589680+00:00,hyperliquid,,,,,BTC,0.00113,80.94189999999999,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
BTC,SHORT,72.18,72183.5,0.001,1773607165943,bybit,,,,,,,,,
BTC,SHORT,72.18,72184.0,0.001,1773607165943,bybit,,,,,,,,,
BTC,SHORT,50.42,72028.7,0.07,1773607063061,okx,,,,,,,,,
,short,,71854.0,,2026-03-15T20:40:40.374107+00:00,hyperliquid,,,,,BTC,0.00039,28.02306,0x1e9b03ec06f463bc5d81c15e050425639cc43855,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71854.0,,2026-03-15T20:40:40.651690+00:00,hyperliquid,,,,,BTC,0.00039,28.02306,0x1e9b03ec06f463bc5d81c15e050425639cc43855,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71747.0,,2026-03-15T20:41:10.369774+00:00,hyperliquid,,,,,BTC,0.00039,27.98133,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71747.0,,2026-03-15T20:41:10.500462+00:00,hyperliquid,,,,,BTC,0.00039,27.98133,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71722.0,,2026-03-15T20:38:40.279765+00:00,hyperliquid,,,,,BTC,0.00039,27.97158,0x6e8bc7cd0978397b06a14af2a8c31f5daeffea79,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71722.0,,2026-03-15T20:38:42.581484+00:00,hyperliquid,,,,,BTC,0.00039,27.97158,0x6e8bc7cd0978397b06a14af2a8c31f5daeffea79,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71718.0,,2026-03-15T20:37:40.652999+00:00,hyperliquid,,,,,BTC,0.00039,27.970019999999998,0x706bb519b05b7dc01d048af9a5e29d1ef5d6d9e3,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71718.0,,2026-03-15T20:37:40.685319+00:00,hyperliquid,,,,,BTC,0.00039,27.970019999999998,0x706bb519b05b7dc01d048af9a5e29d1ef5d6d9e3,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71676.0,,2026-03-15T20:37:10.234896+00:00,hyperliquid,,,,,BTC,0.00039,27.95364,0x06438b0d1bb6f8aa4a455a4f2c1b1e744d53c760,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71676.0,,2026-03-15T20:37:10.369655+00:00,hyperliquid,,,,,BTC,0.00039,27.95364,0x06438b0d1bb6f8aa4a455a4f2c1b1e744d53c760,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71630.0,,2026-03-15T20:36:11.206590+00:00,hyperliquid,,,,,BTC,0.00039,27.9357,0x0ddcec3c593a9f577c888a6c9e56e8b0f5fcd048,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71630.0,,2026-03-15T20:36:13.390756+00:00,hyperliquid,,,,,BTC,0.00039,27.9357,0x0ddcec3c593a9f577c888a6c9e56e8b0f5fcd048,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71611.0,,2026-03-15T20:33:40.398856+00:00,hyperliquid,,,,,BTC,0.00039,27.92829,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71611.0,,2026-03-15T20:33:41.451545+00:00,hyperliquid,,,,,BTC,0.00039,27.92829,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71608.0,,2026-03-15T20:35:10.378009+00:00,hyperliquid,,,,,BTC,0.00039,27.92712,0xb3a38662575bdf1541013ce987934dba919851ea,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71608.0,,2026-03-15T20:35:10.397344+00:00,hyperliquid,,,,,BTC,0.00039,27.92712,0xb3a38662575bdf1541013ce987934dba919851ea,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71585.0,,2026-03-15T20:32:42.550097+00:00,hyperliquid,,,,,BTC,0.00039,27.91815,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71585.0,,2026-03-15T20:32:43.655497+00:00,hyperliquid,,,,,BTC,0.00039,27.91815,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71828.0,,2026-03-15T20:40:10.412654+00:00,hyperliquid,,,,,BTC,0.00038,27.29464,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71828.0,,2026-03-15T20:40:10.467169+00:00,hyperliquid,,,,,BTC,0.00038,27.29464,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71819.0,,2026-03-15T20:41:42.029747+00:00,hyperliquid,,,,,BTC,0.00038,27.291220000000003,0x424f58c01b5440ebc2382ac01b7a3597b12076ff,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71819.0,,2026-03-15T20:41:42.031739+00:00,hyperliquid,,,,,BTC,0.00038,27.291220000000003,0x424f58c01b5440ebc2382ac01b7a3597b12076ff,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71731.0,,2026-03-15T20:39:11.173559+00:00,hyperliquid,,,,,BTC,0.00038,27.25778,0x2cb562384765bea1612ceb60007e315f904fbe86,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71731.0,,2026-03-15T20:39:11.186274+00:00,hyperliquid,,,,,BTC,0.00038,27.25778,0x2cb562384765bea1612ceb60007e315f904fbe86,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71640.0,,2026-03-15T20:35:41.291313+00:00,hyperliquid,,,,,BTC,0.00038,27.223200000000002,0x424f58c01b5440ebc2382ac01b7a3597b12076ff,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71640.0,,2026-03-15T20:35:43.399590+00:00,hyperliquid,,,,,BTC,0.00038,27.223200000000002,0x424f58c01b5440ebc2382ac01b7a3597b12076ff,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71639.0,,2026-03-15T20:33:10.300653+00:00,hyperliquid,,,,,BTC,0.00038,27.222820000000002,0x8f3495ac4f822cec25ae94d7aba1eeafdfb301c7,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71639.0,,2026-03-15T20:33:10.307495+00:00,hyperliquid,,,,,BTC,0.00038,27.222820000000002,0x8f3495ac4f822cec25ae94d7aba1eeafdfb301c7,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71630.0,,2026-03-15T20:36:40.423689+00:00,hyperliquid,,,,,BTC,0.00038,27.2194,0x0ddcec3c593a9f577c888a6c9e56e8b0f5fcd048,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
