timestamp,coin,side,size,price,value_usd,address,pnl,_exchange,symbol,value,quantity,exchange,order_type,avg_price,order_status
1773667973444,,SHORT,,74124.0,,,,hyperliquid,BTC,4047.91,0.05461,hyperliquid,,,
2026-03-16T13:34:18.338000,BTC,short,0.05291,74183.0,3925.02,0x75813b81...,-44.97,hyperliquid,,,,,,,
1773668022457,,SHORT,,74531.9,,,,bybit,BTC,3801.13,0.051,,,,
1773667996944,,SHORT,,74485.7,,,,bybit,BTC,3724.28,0.05,,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,3721.5,0.05026,hyperliquid,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,3704.47,0.05003,hyperliquid,,,
1773668020944,,SHORT,,74524.9,,,,bybit,BTC,3651.72,0.049,,,,
1773667997444,,SHORT,,74499.2,,,,bybit,BTC,3575.96,0.048,,,,
2026-03-16T13:34:28.570000,BTC,short,0.04504,74244.0,3343.95,0x5b417155...,-39.55,hyperliquid,,,,,,,
1773667996944,,SHORT,,74493.2,,,,bybit,BTC,3203.21,0.043,,,,
1773667973944,,SHORT,,74450.1,,,,bybit,BTC,3201.35,0.043,,,,
2026-03-16T13:34:40.930000,BTC,short,0.03982,74257.0,2956.91,0xe4292138...,-24.91,hyperliquid,,,,,,,
1773667975997,,SHORT,,74410.5,,,,okx,BTC,2768.07,3.72,,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,2721.89,0.03676,hyperliquid,,,
1773667972558,,SHORT,,74076.5,,,,okx,BTC,2503.79,3.38,,,,
1773667973444,,SHORT,,74447.2,,,,bybit,BTC,2456.76,0.033,,,,
1773667972944,,SHORT,,74479.8,,,,bybit,BTC,2383.35,0.032,,,,
1773668000736,,SHORT,,74144.0,,,,hyperliquid,BTC,2355.55,0.03177,hyperliquid,,,
1773668023362,,SHORT,,74468.1,,,,okx,BTC,2293.62,3.08,,,,
1773667973127,,SHORT,,74400.0,,,,okx,BTC,2276.64,3.06,,,,
1773667973444,,SHORT,,74124.0,,,,hyperliquid,BTC,2246.7,0.03031,hyperliquid,,,
1773667976446,,SHORT,,74480.9,,,,bybit,BTC,2234.43,0.03,,,,
1773667970299,,SHORT,,74077.0,,,,hyperliquid,BTC,2188.98,0.02955,hyperliquid,,,
1773667973944,,SHORT,,74480.8,,,,bybit,BTC,2085.46,0.028,,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,2023.65,0.02733,hyperliquid,,,
1773668019934,,SHORT,,74156.2,,,,okx,BTC,1987.39,2.68,,,,
2026-03-16T13:34:28.570000,BTC,short,0.02624,74244.0,1948.16,0xa5a7e93d...,-23.62,hyperliquid,,,,,,,
2026-03-16T13:34:40.930000,BTC,short,0.02507,74255.0,1861.57,0xac2cb839...,-21.36,hyperliquid,,,,,,,
1773667894816,,SHORT,,74244.5,,,,binance,BTC,1633.379,0.022,,LIMIT,73954.0,FILLED
2026-03-16T13:34:18.338000,BTC,short,0.02169,74186.0,1609.09,0x75813b81...,-18.5,hyperliquid,,,,,,,
1773668041445,,SHORT,,74525.1,,,,bybit,BTC,1565.03,0.021,,,,
1773668049443,,SHORT,,74545.7,,,,bybit,BTC,1490.91,0.02,,,,
1773668020944,,SHORT,,74520.8,,,,bybit,BTC,1490.42,0.02,,,,
1773668021714,,SHORT,,74170.0,,,,hyperliquid,BTC,1392.91,0.01878,hyperliquid,,,
1773667936215,,SHORT,,74036.7,,,,okx,BTC,1362.28,1.84,,,,
1773667934168,,SHORT,,74020.0,,,,hyperliquid,BTC,1345.68,0.01818,hyperliquid,,,
1773668021944,,SHORT,,74533.4,,,,bybit,BTC,1341.6,0.018,,,,
1773667998444,,SHORT,,74503.8,,,,bybit,BTC,1341.07,0.018,,,,
1773667933551,,SHORT,,74023.1,,,,okx,BTC,1295.4,1.75,,,,
1773667996444,,SHORT,,74492.3,,,,bybit,BTC,1266.37,0.017,,,,
1773667973444,,SHORT,,74437.7,,,,bybit,BTC,1265.44,0.017,,,,
1773667888835,,SHORT,,74228.7,,,,binance,BTC,1261.8879,0.017,,LIMIT,73927.1,FILLED
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,1210.64,0.01635,hyperliquid,,,
1773668022457,,SHORT,,74540.0,,,,bybit,BTC,1192.64,0.016,,,,
1773668020444,,SHORT,,74522.6,,,,bybit,BTC,1192.36,0.016,,,,
1773667970876,,SHORT,,74359.1,,,,okx,BTC,1160.0,1.56,,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,1138.81,0.01538,hyperliquid,,,
1773667972944,,SHORT,,74462.9,,,,bybit,BTC,1116.94,0.015,,,,
1773667970299,,SHORT,,74077.0,,,,hyperliquid,BTC,1057.08,0.01427,hyperliquid,,,
1773667996944,,SHORT,,74489.4,,,,bybit,BTC,968.36,0.013,,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,951.48,0.01285,hyperliquid,,,
1773667973444,,SHORT,,74124.0,,,,hyperliquid,BTC,928.77,0.01253,hyperliquid,,,
1773667936720,,SHORT,,74045.0,,,,hyperliquid,BTC,922.6,0.01246,hyperliquid,,,
1773667976407,,SHORT,,74411.0,,,,okx,BTC,825.96,1.11,,,,
2026-03-16T13:34:40.930000,BTC,short,0.01077,74258.0,799.76,0xe4292138...,-6.75,hyperliquid,,,,,,,
1773667970299,,SHORT,,74076.0,,,,hyperliquid,BTC,799.28,0.01079,hyperliquid,,,
1773668051226,,SHORT,,74471.7,,,,okx,BTC,744.72,1.0,,,,
1773668000736,,SHORT,,74144.0,,,,hyperliquid,BTC,741.44,0.01,hyperliquid,,,
1773667872184,,SHORT,,73942.0,,,,okx,BTC,739.42,1.0,,,,
1773667934168,,SHORT,,74020.0,,,,hyperliquid,BTC,705.41,0.00953,hyperliquid,,,
