symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,exchange,coin,size,value_usd,address,pnl
BTC,SHORT,187095.25,74838.1,2.5,1773668510444,bybit,,,,,,,,,
BTC,SHORT,113846.3052,74702.3,1.524,1773668435199,binance,LIMIT,74420.0,FILLED,,,,,,
BTC,SHORT,49466.72,74395.0,0.66492,1773668431722,hyperliquid,,,,hyperliquid,,,,,
,short,,74471.0,,2026-03-16T13:41:52.603000,hyperliquid,,,,,BTC,0.65788,48992.98,0xcbd909bc...,-596.89
BTC,SHORT,48992.98,74471.0,0.65788,1773668512603,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,40863.13,74840.9,0.546,1773668510444,bybit,,,,,,,,,
,short,,74444.0,,2026-03-16T13:41:49.668000,hyperliquid,,,,,BTC,0.54362,40469.25,0xfa07c80e...,-469.69
BTC,SHORT,40469.25,74444.0,0.54362,1773668509668,hyperliquid,,,,hyperliquid,,,,,
,short,,74444.0,,2026-03-16T13:41:49.668000,hyperliquid,,,,,BTC,0.472,35137.57,0x7931ea6e...,-3513.57
BTC,SHORT,35137.57,74444.0,0.472,1773668509668,hyperliquid,,,,hyperliquid,,,,,
,short,,74470.0,,2026-03-16T13:41:52.603000,hyperliquid,,,,,BTC,0.45928,34202.58,0x72e23fd5...,-383.04
BTC,SHORT,34202.58,74470.0,0.45928,1773668512603,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,31583.83,74843.2,0.422,1773668510944,bybit,,,,,,,,,
,short,,74399.0,,2026-03-16T13:40:40.466000,hyperliquid,,,,,BTC,0.385,28643.62,0xd196843f...,-1000.31
,short,,74399.0,,2026-03-16T13:40:40.466000,hyperliquid,,,,,BTC,0.385,28643.62,0xd196843f...,-1000.31
BTC,SHORT,28643.62,74399.0,0.385,1773668440466,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,28643.62,74399.0,0.385,1773668440466,hyperliquid,,,,hyperliquid,,,,,
,short,,74399.0,,2026-03-16T13:40:40.466000,hyperliquid,,,,,BTC,0.35,26039.65,0xd196843f...,-909.37
,short,,74399.0,,2026-03-16T13:40:40.466000,hyperliquid,,,,,BTC,0.35,26039.65,0xd196843f...,-909.37
BTC,SHORT,26039.65,74399.0,0.35,1773668440466,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,26039.65,74399.0,0.35,1773668440466,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,25474.7119,74705.9,0.341,1773668434197,binance,LIMIT,74416.6,FILLED,,,,,,
,short,,74404.0,,2026-03-16T13:40:37.341000,hyperliquid,,,,,BTC,0.31414,23373.27,0xd196843f...,-817.77
BTC,SHORT,23373.27,74404.0,0.31414,1773668437341,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,19495.0296,74693.6,0.261,1773668429134,binance,LIMIT,74389.7,FILLED,,,,,,
BTC,SHORT,19454.43,74387.0,0.26153,1773668427832,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,18913.64,74387.0,0.25426,1773668427832,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,17306.88,74387.0,0.23266,1773668427832,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,16136.77,74387.0,0.21693,1773668427832,hyperliquid,,,,hyperliquid,,,,,
,short,,74470.0,,2026-03-16T13:41:52.603000,hyperliquid,,,,,BTC,0.2,14894.0,0x31b905df...,-631.0
BTC,SHORT,14894.0,74470.0,0.2,1773668512603,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,13691.35,74816.1,0.183,1773668510444,bybit,,,,,,,,,
BTC,SHORT,12799.03,74387.0,0.17206,1773668427832,hyperliquid,,,,hyperliquid,,,,,
,short,,74470.0,,2026-03-16T13:41:52.603000,hyperliquid,,,,,BTC,0.16219,12078.29,0x5c4e19c9...,-139.97
BTC,SHORT,12078.29,74470.0,0.16219,1773668512603,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,11214.12,74760.8,0.15,1773668430444,bybit,,,,,,,,,
,short,,74470.0,,2026-03-16T13:41:52.603000,hyperliquid,,,,,BTC,0.14787,11011.88,0x72e23fd5...,-123.32
BTC,SHORT,11011.88,74470.0,0.14787,1773668512603,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,10081.854,74680.4,0.135,1773668426769,binance,LIMIT,74391.4,FILLED,,,,,,
BTC,SHORT,9718.97,74761.3,0.13,1773668428444,bybit,,,,,,,,,
BTC,SHORT,9651.64,74818.9,0.129,1773668510944,bybit,,,,,,,,,
,short,,74444.0,,2026-03-16T13:41:49.668000,hyperliquid,,,,,BTC,0.12014,8943.7,0x19376cc3...,-114.73
BTC,SHORT,8943.7,74444.0,0.12014,1773668509668,hyperliquid,,,,hyperliquid,,,,,
