exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,LONG,14407.89,73886.6,0.195,1773670361648,binance,,,
,BTC,LONG,14407.887000000002,73886.6,0.195,1773670361648,binance,LIMIT,74161.8,FILLED
,BTC,LONG,1330.6824,73926.8,0.018,1773670355251,binance,LIMIT,74205.9,FILLED
binance,BTC,LONG,1330.68,73926.8,0.018,1773670355251,binance,,,
,BTC,SHORT,224.1411,74713.7,0.003,1773670279414,binance,LIMIT,74410.1,FILLED
binance,BTC,SHORT,224.14,74713.7,0.003,1773670279414,binance,,,
