symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status
BTC,LONG,11111.85,72721.5,15.28,1773616906220,okx,,,,
BTC,LONG,9397.53,72455.9,12.97,1773616715669,okx,,,,
BTC,LONG,4639.8,72496.8,0.064,1773616715515,binance,binance,,,
BTC,LONG,4639.7952000000005,72496.8,0.064,1773616715515,binance,,LIMIT,72763.9,FILLED
BTC,LONG,2612.3219999999997,72564.5,0.036,1773616662763,binance,,LIMIT,72832.9,FILLED
BTC,LONG,2612.32,72564.5,0.036,1773616662763,binance,binance,,,
BTC,SHORT,1020.09,72863.6,1.4,1773616825411,okx,,,,
BTC,SHORT,805.22,73202.2,0.011,1773616835944,bybit,,,,
BTC,LONG,145.09,72543.6,0.002,1773616676267,binance,binance,,,
BTC,LONG,145.08720000000002,72543.6,0.002,1773616676267,binance,,LIMIT,72827.0,FILLED
