symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address
,short,,73446.0,,2026-03-16T12:11:53.484432+00:00,hyperliquid,,BTC,0.0041,301.1286,0xbb160cb61e694570f9d570f9fcde7c61dd2143ad,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73442.0,,2026-03-16T12:12:20.325245+00:00,hyperliquid,,BTC,0.0041,301.11220000000003,0xa3652867632777bd42f12561d28bfd2064a11721,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73442.0,,2026-03-16T12:12:20.362799+00:00,hyperliquid,,BTC,0.0041,301.11220000000003,0xa3652867632777bd42f12561d28bfd2064a11721,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73469.0,,2026-03-16T12:16:09.467860+00:00,hyperliquid,,BTC,0.003,220.407,0x31dea2516beee92135b96f464eeec3cf292a13f2,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73469.0,,2026-03-16T12:16:09.479090+00:00,hyperliquid,,BTC,0.003,220.407,0x31dea2516beee92135b96f464eeec3cf292a13f2,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73539.0,,2026-03-16T12:13:22.319788+00:00,hyperliquid,,BTC,0.00277,203.70302999999998,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73539.0,,2026-03-16T12:13:22.330201+00:00,hyperliquid,,BTC,0.00277,203.70302999999998,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73529.0,,2026-03-16T12:15:22.422650+00:00,hyperliquid,,BTC,0.00277,203.67533,0x0b1ace05eb9ef1c3a1951b763700ecad24f27741,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73529.0,,2026-03-16T12:15:22.466799+00:00,hyperliquid,,BTC,0.00277,203.67533,0x0b1ace05eb9ef1c3a1951b763700ecad24f27741,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73719.0,,2026-03-16T12:20:22.447763+00:00,hyperliquid,,BTC,0.00276,203.46444,0xa3652867632777bd42f12561d28bfd2064a11721,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73719.0,,2026-03-16T12:20:22.451069+00:00,hyperliquid,,BTC,0.00276,203.46444,0xa3652867632777bd42f12561d28bfd2064a11721,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73698.0,,2026-03-16T12:20:52.353679+00:00,hyperliquid,,BTC,0.00276,203.40648,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73698.0,,2026-03-16T12:20:52.357630+00:00,hyperliquid,,BTC,0.00276,203.40648,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
