symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status
BTC,SHORT,14328.78,71643.9,20.0,1773606649318,okx,,,,
BTC,SHORT,9854.03,71927.2,0.137,1773606685332,binance,binance,,,
BTC,SHORT,9854.0264,71927.2,0.137,1773606685332,binance,,LIMIT,71661.1,FILLED
BTC,SHORT,2084.32,71873.0,0.029,1773606640624,binance,binance,,,
BTC,SHORT,2084.317,71873.0,0.029,1773606640624,binance,,LIMIT,71587.8,FILLED
BTC,SHORT,1939.9742999999999,71850.9,0.027,1773606634700,binance,,LIMIT,71576.6,FILLED
BTC,SHORT,1939.97,71850.9,0.027,1773606634700,binance,binance,,,
BTC,SHORT,647.5545,71950.5,0.009,1773606650052,binance,,LIMIT,71685.7,FILLED
BTC,SHORT,647.55,71950.5,0.009,1773606650052,binance,binance,,,
BTC,SHORT,431.52,71919.9,0.006,1773606687505,binance,binance,,,
BTC,SHORT,431.51939999999996,71919.9,0.006,1773606687505,binance,,LIMIT,71661.1,FILLED
BTC,SHORT,431.0502,71841.7,0.006,1773606679801,binance,,LIMIT,71668.7,FILLED
BTC,SHORT,431.05,71841.7,0.006,1773606679801,binance,binance,,,
BTC,SHORT,360.23,72046.5,0.005,1773606655444,bybit,,,,
BTC,SHORT,359.42,71883.8,0.005,1773606648356,binance,binance,,,
BTC,SHORT,359.41900000000004,71883.8,0.005,1773606648356,binance,,LIMIT,71664.0,FILLED
BTC,SHORT,287.92159999999996,71980.4,0.004,1773606655087,binance,,LIMIT,71686.6,FILLED
BTC,SHORT,287.92,71980.4,0.004,1773606655087,binance,binance,,,
BTC,SHORT,143.9248,71962.4,0.002,1773606652276,binance,,LIMIT,71671.6,FILLED
BTC,SHORT,143.9206,71960.3,0.002,1773606651247,binance,,LIMIT,71678.0,FILLED
BTC,SHORT,143.92,71962.4,0.002,1773606652276,binance,binance,,,
BTC,SHORT,143.92,71960.3,0.002,1773606651247,binance,binance,,,
