symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
,short,,72527.0,,2026-03-16T00:43:05.042603+00:00,hyperliquid,BTC,0.00829,601.24883,0xe3b3482482899b4890ec5a2093cba2a558d0c14f,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72527.0,,2026-03-16T00:43:06.136614+00:00,hyperliquid,BTC,0.00829,601.24883,0xe3b3482482899b4890ec5a2093cba2a558d0c14f,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72523.0,,2026-03-16T00:43:35.021256+00:00,hyperliquid,BTC,0.00829,601.21567,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72523.0,,2026-03-16T00:43:35.068392+00:00,hyperliquid,BTC,0.00829,601.21567,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72510.0,,2026-03-16T00:44:04.337976+00:00,hyperliquid,BTC,0.00829,601.1079000000001,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72510.0,,2026-03-16T00:44:04.339147+00:00,hyperliquid,BTC,0.00829,601.1079000000001,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72576.0,,2026-03-16T00:35:05.692258+00:00,hyperliquid,BTC,0.00828,600.92928,0xaf2ac71f62f341e5823d6985492409e92c940447,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72576.0,,2026-03-16T00:35:05.848178+00:00,hyperliquid,BTC,0.00828,600.92928,0xaf2ac71f62f341e5823d6985492409e92c940447,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72572.0,,2026-03-16T00:39:05.277704+00:00,hyperliquid,BTC,0.00828,600.8961599999999,0x529f95bc71bc69780f1538dce95ebac111536bc1,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72572.0,,2026-03-16T00:39:05.820574+00:00,hyperliquid,BTC,0.00828,600.8961599999999,0x529f95bc71bc69780f1538dce95ebac111536bc1,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72457.0,,2026-03-16T00:42:05.429578+00:00,hyperliquid,BTC,0.00829,600.66853,0xb668858ff53322d5511651a2cd92391eb5d60ee3,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72457.0,,2026-03-16T00:42:05.431592+00:00,hyperliquid,BTC,0.00829,600.66853,0xb668858ff53322d5511651a2cd92391eb5d60ee3,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72452.0,,2026-03-16T00:41:06.952022+00:00,hyperliquid,BTC,0.00829,600.6270800000001,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72452.0,,2026-03-16T00:41:07.947482+00:00,hyperliquid,BTC,0.00829,600.6270800000001,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72435.0,,2026-03-16T00:41:36.159511+00:00,hyperliquid,BTC,0.00829,600.4861500000001,0x023a3d058020fb76cca98f01b3c48c8938a22355,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72435.0,,2026-03-16T00:41:37.153493+00:00,hyperliquid,BTC,0.00829,600.4861500000001,0x023a3d058020fb76cca98f01b3c48c8938a22355,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72516.0,,2026-03-16T00:42:35.145954+00:00,hyperliquid,BTC,0.00828,600.4324799999999,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72516.0,,2026-03-16T00:42:36.265542+00:00,hyperliquid,BTC,0.00828,600.4324799999999,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72501.0,,2026-03-16T00:44:35.964578+00:00,hyperliquid,BTC,0.00828,600.30828,0x942400ad22a74d42f823899bb42493c536c3f856,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72420.0,,2026-03-16T00:40:35.272989+00:00,hyperliquid,BTC,0.00828,599.6375999999999,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72420.0,,2026-03-16T00:40:38.284411+00:00,hyperliquid,BTC,0.00828,599.6375999999999,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
BTC,LONG,577.2048000000001,72150.6,0.008,1773621628410,binance,,,,,,LIMIT,72417.9,FILLED
BTC,LONG,576.64,72079.5,0.008,1773621628444,bybit,,,,,,,,
,long,,72458.0,,2026-03-16T00:41:26.290191+00:00,hyperliquid,BTC,0.00666,482.57028,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,,,
,long,,72458.0,,2026-03-16T00:41:26.638570+00:00,hyperliquid,BTC,0.00666,482.57028,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,,,
,long,,72509.0,,2026-03-16T00:37:25.118858+00:00,hyperliquid,BTC,0.00622,451.00597999999997,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,,,
,long,,72509.0,,2026-03-16T00:37:25.151804+00:00,hyperliquid,BTC,0.00622,451.00597999999997,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,,,
,long,,72488.0,,2026-03-16T00:42:24.507088+00:00,hyperliquid,BTC,0.00578,418.98064000000005,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,,,
