exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,LONG,11486.3,73630.1,0.156,1773641031654,binance,,,
,BTC,LONG,11486.295600000001,73630.1,0.156,1773641031654,binance,LIMIT,73922.2,FILLED
,BTC,LONG,8882.07,73405.5,0.121,1773641257461,bybit,,,
okx,BTC,LONG,7070.43,73497.2,9.62,1773641256547,okx,,,
,BTC,LONG,2862.56,73398.9,0.039,1773641263943,bybit,,,
,BTC,LONG,1835.25,73410.1,0.025,1773641257461,bybit,,,
,BTC,LONG,1468.66,73432.8,0.02,1773641257461,bybit,,,
binance,BTC,LONG,588.79,73599.1,0.008,1773641089269,binance,,,
,BTC,LONG,73.42,73417.0,0.001,1773641257945,bybit,,,
,BTC,LONG,22.15,73837.5,0.03,1773641191094,okx,,,
