symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
BTC,LONG,24148.39,72889.8,33.13,1773650393542,okx,,,,,,,,,
BTC,LONG,19845.36,73168.0,0.27123,1773650399292,hyperliquid,hyperliquid,,,,,,,,
BTC,LONG,18194.65,73112.0,0.24886,1773650485152,hyperliquid,hyperliquid,,,,,,,,
BTC,LONG,16601.82,73168.0,0.2269,1773650399292,hyperliquid,hyperliquid,,,,,,,,
BTC,LONG,12348.73,73156.0,16.88,1773650476882,okx,,,,,,,,,
BTC,LONG,7580.2,73168.0,0.1036,1773650399292,hyperliquid,hyperliquid,,,,,,,,
BTC,LONG,7361.809200000001,72889.2,0.101,1773650396464,binance,,LIMIT,73178.8,FILLED,,,,,
BTC,LONG,6907.06,73168.0,0.0944,1773650399292,hyperliquid,hyperliquid,,,,,,,,
BTC,LONG,4713.21,72847.2,6.47,1773650483315,okx,,,,,,,,,
BTC,LONG,4301.2,73100.0,0.05884,1773650491739,hyperliquid,hyperliquid,,,,,,,,
,short,,73231.0,,2026-03-16T08:35:36.059793+00:00,hyperliquid,,,,,BTC,0.05359,3924.44929,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73231.0,,2026-03-16T08:35:38.252622+00:00,hyperliquid,,,,,BTC,0.05359,3924.44929,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73168.0,,2026-03-16T08:40:07.275560+00:00,hyperliquid,,,,,BTC,0.05029,3679.61872,0xcb771c8b4c6c6526cccc77c766667e8379a6140b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73168.0,,2026-03-16T08:40:09.613332+00:00,hyperliquid,,,,,BTC,0.05029,3679.61872,0xcb771c8b4c6c6526cccc77c766667e8379a6140b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73127.0,,2026-03-16T08:41:36.044207+00:00,hyperliquid,,,,,BTC,0.04903,3585.4168099999997,0x9266865bb6afb4c4f618544dd3b8c970f17aa664,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73127.0,,2026-03-16T08:41:36.061625+00:00,hyperliquid,,,,,BTC,0.04903,3585.4168099999997,0x9266865bb6afb4c4f618544dd3b8c970f17aa664,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73233.0,,2026-03-16T08:34:06.048444+00:00,hyperliquid,,,,,BTC,0.04445,3255.20685,0xcb771c8b4c6c6526cccc77c766667e8379a6140b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73233.0,,2026-03-16T08:34:07.263318+00:00,hyperliquid,,,,,BTC,0.04445,3255.20685,0xcb771c8b4c6c6526cccc77c766667e8379a6140b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73319.0,,2026-03-16T08:33:06.753489+00:00,hyperliquid,,,,,BTC,0.04279,3137.32001,0x6e8bc7cd0978397b06a14af2a8c31f5daeffea79,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73319.0,,2026-03-16T08:33:06.763936+00:00,hyperliquid,,,,,BTC,0.04279,3137.32001,0x6e8bc7cd0978397b06a14af2a8c31f5daeffea79,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73211.0,,2026-03-16T08:38:06.751581+00:00,hyperliquid,,,,,BTC,0.0417,3052.8987,0xb3a38662575bdf1541013ce987934dba919851ea,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73211.0,,2026-03-16T08:38:08.985399+00:00,hyperliquid,,,,,BTC,0.0417,3052.8987,0xb3a38662575bdf1541013ce987934dba919851ea,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
BTC,LONG,2988.95,72901.1,0.041,1773650394612,binance,binance,,,,,,,,
BTC,LONG,2988.9451000000004,72901.1,0.041,1773650394612,binance,,LIMIT,73178.8,FILLED,,,,,
,short,,73223.0,,2026-03-16T08:39:05.874374+00:00,hyperliquid,,,,,BTC,0.0406,2972.8538,0xfcf104006bfff47695c1dc21dad3e9de1e72098e,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73223.0,,2026-03-16T08:39:05.887891+00:00,hyperliquid,,,,,BTC,0.0406,2972.8538,0xfcf104006bfff47695c1dc21dad3e9de1e72098e,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73251.0,,2026-03-16T08:37:05.253205+00:00,hyperliquid,,,,,BTC,0.0403,2952.0153,0xb668858ff53322d5511651a2cd92391eb5d60ee3,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73251.0,,2026-03-16T08:37:05.262293+00:00,hyperliquid,,,,,BTC,0.0403,2952.0153,0xb668858ff53322d5511651a2cd92391eb5d60ee3,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73263.0,,2026-03-16T08:36:37.111626+00:00,hyperliquid,,,,,BTC,0.03988,2921.72844,0xa3652867632777bd42f12561d28bfd2064a11721,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73263.0,,2026-03-16T08:36:37.114840+00:00,hyperliquid,,,,,BTC,0.03988,2921.72844,0xa3652867632777bd42f12561d28bfd2064a11721,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73196.0,,2026-03-16T08:41:06.861523+00:00,hyperliquid,,,,,BTC,0.03946,2888.3141600000004,0xf58b673c1633ccef0ac58263cdc95ed80f817fc7,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73196.0,,2026-03-16T08:41:06.895121+00:00,hyperliquid,,,,,BTC,0.03946,2888.3141600000004,0xf58b673c1633ccef0ac58263cdc95ed80f817fc7,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73292.0,,2026-03-16T08:33:37.260265+00:00,hyperliquid,,,,,BTC,0.03822,2801.2202399999996,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73292.0,,2026-03-16T08:33:38.289419+00:00,hyperliquid,,,,,BTC,0.03822,2801.2202399999996,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73214.0,,2026-03-16T08:35:06.005862+00:00,hyperliquid,,,,,BTC,0.0349,2555.1686,0x4d969e59b312970cc07af266938a4433ccae0b4c,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73214.0,,2026-03-16T08:35:06.142189+00:00,hyperliquid,,,,,BTC,0.0349,2555.1686,0x4d969e59b312970cc07af266938a4433ccae0b4c,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
BTC,LONG,2398.3,72896.6,3.29,1773650389858,okx,,,,,,,,,
,short,,73130.0,,2026-03-16T08:42:06.305815+00:00,hyperliquid,,,,,BTC,0.0324,2369.412,0x9815aec32ff0db5b81241c9d17f187a3b44a0f16,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
,short,,73130.0,,2026-03-16T08:42:06.312884+00:00,hyperliquid,,,,,BTC,0.0324,2369.412,0x9815aec32ff0db5b81241c9d17f187a3b44a0f16,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b
