symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,exchange,order_type,avg_price,order_status
BTC,LONG,1276131.3,73009.4,17.479,1773647558445,bybit,,,,,,,,,
,short,,73432.0,,2026-03-16T07:48:31.750298+00:00,hyperliquid,BTC,0.44728,32844.66496,0x3bcae23e8c380dab4732e9a159c0456f12d866f3,0xbba0681681815bd70f9075e0235e7997b7b519d9,,,,
,short,,73432.0,,2026-03-16T07:48:31.776411+00:00,hyperliquid,BTC,0.44728,32844.66496,0x3bcae23e8c380dab4732e9a159c0456f12d866f3,0xbba0681681815bd70f9075e0235e7997b7b519d9,,,,
,short,,73489.0,,2026-03-16T07:48:02.209985+00:00,hyperliquid,BTC,0.43966,32310.17374,0x13558be785661958932ceac35ba20de187275a42,0xbba0681681815bd70f9075e0235e7997b7b519d9,,,,
,short,,73489.0,,2026-03-16T07:48:02.225731+00:00,hyperliquid,BTC,0.43966,32310.17374,0x13558be785661958932ceac35ba20de187275a42,0xbba0681681815bd70f9075e0235e7997b7b519d9,,,,
,short,,73420.0,,2026-03-16T07:50:01.473405+00:00,hyperliquid,BTC,0.34095,25032.549,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,0xbba0681681815bd70f9075e0235e7997b7b519d9,,,,
,short,,73420.0,,2026-03-16T07:50:01.484015+00:00,hyperliquid,BTC,0.34095,25032.549,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,0xbba0681681815bd70f9075e0235e7997b7b519d9,,,,
,short,,73479.0,,2026-03-16T07:47:32.879577+00:00,hyperliquid,BTC,0.26,19104.54,0x7dd6f02fef939cea86f0243358255f6b57a6cf0d,0xbba0681681815bd70f9075e0235e7997b7b519d9,,,,
,short,,73479.0,,2026-03-16T07:47:32.890991+00:00,hyperliquid,BTC,0.26,19104.54,0x7dd6f02fef939cea86f0243358255f6b57a6cf0d,0xbba0681681815bd70f9075e0235e7997b7b519d9,,,,
,short,,73412.0,,2026-03-16T07:49:30.609208+00:00,hyperliquid,BTC,0.24198,17764.23576,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xbba0681681815bd70f9075e0235e7997b7b519d9,,,,
,short,,73412.0,,2026-03-16T07:49:31.671730+00:00,hyperliquid,BTC,0.24198,17764.23576,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xbba0681681815bd70f9075e0235e7997b7b519d9,,,,
