symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,address,pnl,exchange
,long,,73309.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.01091,799.8,0xd3f8e645...,-11.0,
,long,,73279.0,,2026-03-16T14:30:30.918000,,,,hyperliquid,BTC,0.01076,788.48,0xfee966b9...,-9.74,
,long,,73307.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.01021,748.46,0xd3f8e645...,-10.31,
BTC,LONG,729.23,72923.0,0.01,1773671437944,,,,bybit,,,,,,
BTC,LONG,729.1,72910.1,0.01,1773671439943,,,,bybit,,,,,,
,long,,73250.0,,2026-03-16T14:30:44.026000,,,,hyperliquid,BTC,0.00968,709.06,0x65d95701...,-10.7,
BTC,LONG,709.06,73250.0,0.00968,1773671444026,,,,hyperliquid,,,,,,hyperliquid
,long,,73250.0,,2026-03-16T14:30:44.026000,,,,hyperliquid,BTC,0.00962,704.66,0x22e824a8...,-8.98,
BTC,LONG,704.66,73250.0,0.00962,1773671444026,,,,hyperliquid,,,,,,hyperliquid
BTC,LONG,656.8947,72988.3,0.009,1773671518341,LIMIT,73288.3,FILLED,binance,,,,,,
BTC,LONG,656.89,72988.3,0.009,1773671518341,,,,binance,,,,,,binance
,long,,73250.0,,2026-03-16T14:30:44.026000,,,,hyperliquid,BTC,0.00859,629.22,0x10f320b5...,-7.62,
BTC,LONG,629.22,73250.0,0.00859,1773671444026,,,,hyperliquid,,,,,,hyperliquid
,long,,73250.0,,2026-03-16T14:30:44.026000,,,,hyperliquid,BTC,0.00774,566.96,0x62e74307...,-6.96,
BTC,LONG,566.96,73250.0,0.00774,1773671444026,,,,hyperliquid,,,,,,hyperliquid
BTC,LONG,510.07,72867.4,0.007,1773671457444,,,,bybit,,,,,,
,long,,73279.0,,2026-03-16T14:30:30.918000,,,,hyperliquid,BTC,0.00673,493.17,0xa5317be6...,-6.46,
,long,,73250.0,,2026-03-16T14:30:44.026000,,,,hyperliquid,BTC,0.00633,463.67,0xb6c129de...,-5.84,
BTC,LONG,463.67,73250.0,0.00633,1773671444026,,,,hyperliquid,,,,,,hyperliquid
BTC,SHORT,442.31,73717.8,0.006,1773671529220,,,,binance,,,,,,binance
BTC,SHORT,442.3068,73717.8,0.006,1773671529220,LIMIT,73446.3,FILLED,binance,,,,,,
,long,,73250.0,,2026-03-16T14:30:44.026000,,,,hyperliquid,BTC,0.00586,429.25,0x0900f2f7...,-5.38,
BTC,LONG,429.25,73250.0,0.00586,1773671444026,,,,hyperliquid,,,,,,hyperliquid
,long,,73279.0,,2026-03-16T14:30:30.918000,,,,hyperliquid,BTC,0.00537,393.51,0x64e2899b...,-4.82,
BTC,LONG,364.58,72915.4,0.005,1773671439444,,,,bybit,,,,,,
,long,,73250.0,,2026-03-16T14:30:44.026000,,,,hyperliquid,BTC,0.00494,361.86,0x5c5d250b...,-4.51,
