symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
,short,,73527.0,,2026-03-16T11:58:53.275258+00:00,hyperliquid,,BTC,0.0041,301.46070000000003,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73527.0,,2026-03-16T11:59:20.285243+00:00,hyperliquid,,BTC,0.0041,301.46070000000003,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73527.0,,2026-03-16T11:59:22.468098+00:00,hyperliquid,,BTC,0.0041,301.46070000000003,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73524.0,,2026-03-16T12:00:21.329203+00:00,hyperliquid,,BTC,0.0041,301.44840000000005,0xe3b3482482899b4890ec5a2093cba2a558d0c14f,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73524.0,,2026-03-16T12:00:21.377751+00:00,hyperliquid,,BTC,0.0041,301.44840000000005,0xe3b3482482899b4890ec5a2093cba2a558d0c14f,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73524.0,,2026-03-16T12:00:51.331968+00:00,hyperliquid,,BTC,0.0041,301.44840000000005,0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73524.0,,2026-03-16T12:00:51.339117+00:00,hyperliquid,,BTC,0.0041,301.44840000000005,0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73517.0,,2026-03-16T11:59:50.009214+00:00,hyperliquid,,BTC,0.0041,301.41970000000003,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73517.0,,2026-03-16T11:59:50.016066+00:00,hyperliquid,,BTC,0.0041,301.41970000000003,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73500.0,,2026-03-16T11:54:49.795605+00:00,hyperliquid,,BTC,0.0041,301.35,0xcf81649d46ce55007f6efe33d107511c4b3c2b0b,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73500.0,,2026-03-16T11:54:50.850093+00:00,hyperliquid,,BTC,0.0041,301.35,0xcf81649d46ce55007f6efe33d107511c4b3c2b0b,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73668.0,,2026-03-16T12:04:19.789512+00:00,hyperliquid,,BTC,0.00409,301.30212,0xbe1f79b4ca0a09fdd71e0055b8e062ea82ad315d,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73668.0,,2026-03-16T12:04:19.797032+00:00,hyperliquid,,BTC,0.00409,301.30212,0xbe1f79b4ca0a09fdd71e0055b8e062ea82ad315d,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73535.0,,2026-03-16T11:58:21.128177+00:00,hyperliquid,,BTC,0.00409,300.75815,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73535.0,,2026-03-16T11:58:23.399136+00:00,hyperliquid,,BTC,0.00409,300.75815,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73535.0,,2026-03-16T12:01:21.033781+00:00,hyperliquid,,BTC,0.00409,300.75815,0xb3a38662575bdf1541013ce987934dba919851ea,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73535.0,,2026-03-16T12:01:23.264707+00:00,hyperliquid,,BTC,0.00409,300.75815,0xb3a38662575bdf1541013ce987934dba919851ea,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73518.0,,2026-03-16T11:55:20.366607+00:00,hyperliquid,,BTC,0.00409,300.68862,0x7e698eea0709e4a0dbbd790fc493d60691801157,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73518.0,,2026-03-16T11:55:21.417370+00:00,hyperliquid,,BTC,0.00409,300.68862,0x7e698eea0709e4a0dbbd790fc493d60691801157,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,long,,73521.0,,2026-03-16T11:55:25.870917+00:00,hyperliquid,,BTC,0.003,220.56300000000002,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x31dea2516beee92135b96f464eeec3cf292a13f2,,,
,long,,73521.0,,2026-03-16T11:55:28.092688+00:00,hyperliquid,,BTC,0.003,220.56300000000002,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x31dea2516beee92135b96f464eeec3cf292a13f2,,,
,short,,73572.0,,2026-03-16T12:02:52.350003+00:00,hyperliquid,,BTC,0.00277,203.79443999999998,0x162cc7c861ebd0c06b3d72319201150482518185,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73572.0,,2026-03-16T12:02:52.395120+00:00,hyperliquid,,BTC,0.00277,203.79443999999998,0x162cc7c861ebd0c06b3d72319201150482518185,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73560.0,,2026-03-16T11:56:52.292241+00:00,hyperliquid,,BTC,0.00277,203.7612,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73560.0,,2026-03-16T11:56:52.294987+00:00,hyperliquid,,BTC,0.00277,203.7612,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73527.0,,2026-03-16T11:58:52.369141+00:00,hyperliquid,,BTC,0.00277,203.66979,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73527.0,,2026-03-16T11:58:53.275900+00:00,hyperliquid,,BTC,0.00277,203.66979,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73524.0,,2026-03-16T12:00:52.403297+00:00,hyperliquid,,BTC,0.00277,203.66147999999998,0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73524.0,,2026-03-16T12:00:52.408415+00:00,hyperliquid,,BTC,0.00277,203.66147999999998,0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73500.0,,2026-03-16T11:54:52.652533+00:00,hyperliquid,,BTC,0.00277,203.595,0xcf81649d46ce55007f6efe33d107511c4b3c2b0b,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73500.0,,2026-03-16T11:54:52.698366+00:00,hyperliquid,,BTC,0.00277,203.595,0xcf81649d46ce55007f6efe33d107511c4b3c2b0b,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73670.0,,2026-03-16T12:04:22.438059+00:00,hyperliquid,,BTC,0.00276,203.3292,0x7dd6f02fef939cea86f0243358255f6b57a6cf0d,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73670.0,,2026-03-16T12:04:22.459143+00:00,hyperliquid,,BTC,0.00276,203.3292,0x7dd6f02fef939cea86f0243358255f6b57a6cf0d,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73594.0,,2026-03-16T12:03:52.362281+00:00,hyperliquid,,BTC,0.00276,203.11944,0x06438b0d1bb6f8aa4a455a4f2c1b1e744d53c760,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73594.0,,2026-03-16T12:03:52.366617+00:00,hyperliquid,,BTC,0.00276,203.11944,0x06438b0d1bb6f8aa4a455a4f2c1b1e744d53c760,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73576.0,,2026-03-16T12:02:22.259695+00:00,hyperliquid,,BTC,0.00276,203.06976,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73576.0,,2026-03-16T12:02:22.262542+00:00,hyperliquid,,BTC,0.00276,203.06976,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73560.0,,2026-03-16T11:57:22.369049+00:00,hyperliquid,,BTC,0.00276,203.0256,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73560.0,,2026-03-16T11:57:22.369939+00:00,hyperliquid,,BTC,0.00276,203.0256,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73559.0,,2026-03-16T11:57:52.400506+00:00,hyperliquid,,BTC,0.00276,203.02284,0x177019594ba3913d416ab1a8f3e5527d4c2b2837,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
,short,,73559.0,,2026-03-16T11:57:52.421050+00:00,hyperliquid,,BTC,0.00276,203.02284,0x177019594ba3913d416ab1a8f3e5527d4c2b2837,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7,,,
