timestamp,coin,side,size,price,value_usd,address,pnl,_exchange,exchange,symbol,value,quantity,order_type,avg_price,order_status
1773664039444,,SHORT,,74167.6,,,,bybit,,BTC,222.5,0.003,,,
1773664000443,,SHORT,,74116.8,,,,bybit,,BTC,222.35,0.003,,,
1773664006158,,SHORT,,74068.8,,,,binance,binance,BTC,222.21,0.003,,,
1773664006158,,SHORT,,74068.8,,,,binance,,BTC,222.2064,0.003,LIMIT,73774.2,FILLED
2026-03-16T12:30:46.863000,BTC,short,0.003,73890.0,221.67,0xe817faf8...,-2.64,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00291,73871.0,214.96,0xfef13e10...,-2.46,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00261,73881.0,192.83,0xfef13e10...,-2.23,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00229,73880.0,169.19,0xfef13e10...,-1.95,hyperliquid,,,,,,,
1773664039444,,SHORT,,74160.7,,,,bybit,,BTC,148.32,0.002,,,
1773664033482,,SHORT,,74079.0,,,,binance,binance,BTC,148.16,0.002,,,
1773664033482,,SHORT,,74079.0,,,,binance,,BTC,148.15800000000002,0.002,LIMIT,73794.2,FILLED
1773664008879,,SHORT,,74064.3,,,,binance,binance,BTC,148.13,0.002,,,
1773664008879,,SHORT,,74064.3,,,,binance,,BTC,148.1286,0.002,LIMIT,73774.2,FILLED
2026-03-16T12:27:22.331000,BTC,short,0.00168,73850.0,124.07,0xe4292138...,-0.37,hyperliquid,,,,,,,
1773664042331,,SHORT,,73850.0,,,,hyperliquid,hyperliquid,BTC,124.07,0.00168,,,
2026-03-16T12:30:43.888000,BTC,short,0.0015,73881.0,110.82,0xfef13e10...,-1.28,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.0015,73878.0,110.82,0xfef13e10...,-1.28,hyperliquid,,,,,,,
1773664248655,,SHORT,,74194.6,,,,okx,,BTC,103.87,0.14,,,
1773664243050,,SHORT,,74151.4,,,,okx,,BTC,103.81,0.14,,,
1773664174133,,SHORT,,73837.5,,,,okx,,BTC,95.99,0.13,,,
1773664166443,,SHORT,,74181.1,,,,bybit,,BTC,74.18,0.001,,,
1773664039444,,SHORT,,74160.7,,,,bybit,,BTC,74.16,0.001,,,
1773663997443,,LONG,,73374.7,,,,bybit,,BTC,73.37,0.001,,,
2026-03-16T12:30:43.888000,BTC,short,0.00087,73878.0,64.27,0xfef13e10...,-0.74,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00084,73879.0,62.06,0xfef13e10...,-0.72,hyperliquid,,,,,,,
1773664039065,,SHORT,,74105.6,,,,okx,,BTC,59.28,0.08,,,
2026-03-16T12:30:43.888000,BTC,short,0.00063,73881.0,46.55,0xfef13e10...,-0.54,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00051,73882.0,37.68,0xfef13e10...,-0.44,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.0004,73883.0,29.55,0xfef13e10...,-0.34,hyperliquid,,,,,,,
2026-03-16T12:27:22.331000,BTC,short,0.0004,73850.0,29.54,0xe4292138...,-0.09,hyperliquid,,,,,,,
1773664042331,,SHORT,,73850.0,,,,hyperliquid,hyperliquid,BTC,29.54,0.0004,,,
2026-03-16T12:30:43.888000,BTC,short,0.00034,73881.0,25.12,0xfef13e10...,-0.29,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.0003,73882.0,22.16,0xfef13e10...,-0.26,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00029,73877.0,21.42,0xfef13e10...,-0.25,hyperliquid,,,,,,,
2026-03-16T12:30:43.888000,BTC,short,0.00024,73874.0,17.73,0xfef13e10...,-0.2,hyperliquid,,,,,,,
1773664000019,,SHORT,,73757.4,,,,okx,,BTC,14.75,0.02,,,
2026-03-16T12:30:46.863000,BTC,short,0.00017,73892.0,12.56,0xe817faf8...,-0.15,hyperliquid,,,,,,,
2026-03-16T12:30:46.863000,BTC,short,0.00017,73891.0,12.56,0xe817faf8...,-0.15,hyperliquid,,,,,,,
