exchange,symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
,,long,,72000.0,,2026-03-15T21:58:20.095365+00:00,hyperliquid,BTC,0.06894,4963.68,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5
,,long,,72000.0,,2026-03-15T21:58:20.143232+00:00,hyperliquid,BTC,0.06894,4963.68,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5
,,long,,72008.0,,2026-03-15T21:57:48.799096+00:00,hyperliquid,BTC,0.06893,4963.51144,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90
,,long,,72008.0,,2026-03-15T21:57:49.434792+00:00,hyperliquid,BTC,0.06893,4963.51144,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90
,,long,,71994.0,,2026-03-15T21:53:50.314957+00:00,hyperliquid,BTC,0.06894,4963.2663600000005,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0xe92cdf7b804a836a71219cda2b00274d57ac030f
,,long,,71994.0,,2026-03-15T21:53:52.517270+00:00,hyperliquid,BTC,0.06894,4963.2663600000005,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0xe92cdf7b804a836a71219cda2b00274d57ac030f
,,long,,72033.0,,2026-03-15T21:55:19.380297+00:00,hyperliquid,BTC,0.06877,4953.7094099999995,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0x9815aec32ff0db5b81241c9d17f187a3b44a0f16
,,long,,72033.0,,2026-03-15T21:55:19.384191+00:00,hyperliquid,BTC,0.06877,4953.7094099999995,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0x9815aec32ff0db5b81241c9d17f187a3b44a0f16
,,long,,72036.0,,2026-03-15T21:54:20.118213+00:00,hyperliquid,BTC,0.06859,4940.94924,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0x9815aec32ff0db5b81241c9d17f187a3b44a0f16
,,long,,72036.0,,2026-03-15T21:54:20.149110+00:00,hyperliquid,BTC,0.06859,4940.94924,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0x9815aec32ff0db5b81241c9d17f187a3b44a0f16
,,long,,72140.0,,2026-03-15T22:02:50.161045+00:00,hyperliquid,BTC,0.06772,4885.3208,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0xb3a38662575bdf1541013ce987934dba919851ea
,,long,,71977.0,,2026-03-15T22:00:48.467395+00:00,hyperliquid,BTC,0.06724,4839.73348,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0xadc9cf23f55c6221a05a8150e5768d7c3289562f
,,long,,71977.0,,2026-03-15T22:00:48.476326+00:00,hyperliquid,BTC,0.06724,4839.73348,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0xadc9cf23f55c6221a05a8150e5768d7c3289562f
,,long,,71988.0,,2026-03-15T22:01:18.585284+00:00,hyperliquid,BTC,0.06583,4738.97004,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0x6a072733f7249e6b794cae88c6d3cc7eb756a93c
,,long,,71988.0,,2026-03-15T22:01:18.647942+00:00,hyperliquid,BTC,0.06583,4738.97004,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0x6a072733f7249e6b794cae88c6d3cc7eb756a93c
,,long,,72067.0,,2026-03-15T22:02:21.475564+00:00,hyperliquid,BTC,0.00992,714.90464,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xeca57b3ab6fe52bf5ac90838e6a50116feac0afd
,,long,,72067.0,,2026-03-15T22:02:21.626071+00:00,hyperliquid,BTC,0.00992,714.90464,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xeca57b3ab6fe52bf5ac90838e6a50116feac0afd
,,long,,72023.0,,2026-03-15T22:01:50.733873+00:00,hyperliquid,BTC,0.00991,713.74793,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f
,,long,,72023.0,,2026-03-15T22:01:50.841562+00:00,hyperliquid,BTC,0.00991,713.74793,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f
bybit,BTC,SHORT,580.17,72520.7,0.008,1773612156444,bybit,,,,,
,,long,,71988.0,,2026-03-15T22:01:18.585709+00:00,hyperliquid,BTC,0.0031,223.1628,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0xe92cdf7b804a836a71219cda2b00274d57ac030f
,,long,,71988.0,,2026-03-15T22:01:18.654161+00:00,hyperliquid,BTC,0.0031,223.1628,0xd58097a67e91cd410d0fda4ad7db2618c917fe30,0xe92cdf7b804a836a71219cda2b00274d57ac030f
,,short,,72054.0,,2026-03-15T21:59:19.639170+00:00,hyperliquid,BTC,0.00249,179.41446,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72054.0,,2026-03-15T21:59:21.774454+00:00,hyperliquid,BTC,0.00249,179.41446,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72035.0,,2026-03-15T21:54:20.118745+00:00,hyperliquid,BTC,0.00249,179.36715,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72035.0,,2026-03-15T21:54:20.149681+00:00,hyperliquid,BTC,0.00249,179.36715,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72032.0,,2026-03-15T21:55:19.454203+00:00,hyperliquid,BTC,0.00249,179.35968,0x2cb562384765bea1612ceb60007e315f904fbe86,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72032.0,,2026-03-15T21:55:19.455415+00:00,hyperliquid,BTC,0.00249,179.35968,0x2cb562384765bea1612ceb60007e315f904fbe86,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72022.0,,2026-03-15T22:01:49.202031+00:00,hyperliquid,BTC,0.00249,179.33478,0x162cc7c861ebd0c06b3d72319201150482518185,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72022.0,,2026-03-15T22:01:49.214597+00:00,hyperliquid,BTC,0.00249,179.33478,0x162cc7c861ebd0c06b3d72319201150482518185,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72016.0,,2026-03-15T21:53:20.275660+00:00,hyperliquid,BTC,0.00249,179.31984,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72016.0,,2026-03-15T21:53:22.370823+00:00,hyperliquid,BTC,0.00249,179.31984,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72016.0,,2026-03-15T21:56:49.229721+00:00,hyperliquid,BTC,0.00249,179.31984,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72016.0,,2026-03-15T21:56:49.291539+00:00,hyperliquid,BTC,0.00249,179.31984,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72014.0,,2026-03-15T22:00:19.972484+00:00,hyperliquid,BTC,0.00249,179.31486,0x06438b0d1bb6f8aa4a455a4f2c1b1e744d53c760,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72014.0,,2026-03-15T22:00:20.537359+00:00,hyperliquid,BTC,0.00249,179.31486,0x06438b0d1bb6f8aa4a455a4f2c1b1e744d53c760,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72007.0,,2026-03-15T21:57:49.383212+00:00,hyperliquid,BTC,0.00249,179.29743,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72007.0,,2026-03-15T21:57:49.542973+00:00,hyperliquid,BTC,0.00249,179.29743,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72066.0,,2026-03-15T22:02:19.419193+00:00,hyperliquid,BTC,0.00248,178.72368,0x2df8f8d2468f23885609b868d3c6398a1b16f43d,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72066.0,,2026-03-15T22:02:21.271592+00:00,hyperliquid,BTC,0.00248,178.72368,0x2df8f8d2468f23885609b868d3c6398a1b16f43d,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72065.0,,2026-03-15T21:59:49.410391+00:00,hyperliquid,BTC,0.00248,178.7212,0xb3a38662575bdf1541013ce987934dba919851ea,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72065.0,,2026-03-15T21:59:49.847920+00:00,hyperliquid,BTC,0.00248,178.7212,0xb3a38662575bdf1541013ce987934dba919851ea,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72030.0,,2026-03-15T21:56:19.990147+00:00,hyperliquid,BTC,0.00248,178.6344,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72030.0,,2026-03-15T21:56:20.037531+00:00,hyperliquid,BTC,0.00248,178.6344,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72022.0,,2026-03-15T21:55:50.313140+00:00,hyperliquid,BTC,0.00248,178.61456,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72022.0,,2026-03-15T21:55:50.323937+00:00,hyperliquid,BTC,0.00248,178.61456,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72022.0,,2026-03-15T21:58:49.318381+00:00,hyperliquid,BTC,0.00248,178.61456,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72022.0,,2026-03-15T21:58:51.243535+00:00,hyperliquid,BTC,0.00248,178.61456,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72021.0,,2026-03-15T21:57:19.540764+00:00,hyperliquid,BTC,0.00248,178.61208,0xe29d84a6f37858d7f8017be454ee35726511e525,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72021.0,,2026-03-15T21:57:19.621324+00:00,hyperliquid,BTC,0.00248,178.61208,0xe29d84a6f37858d7f8017be454ee35726511e525,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72010.0,,2026-03-15T21:54:49.422873+00:00,hyperliquid,BTC,0.00248,178.5848,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72010.0,,2026-03-15T21:54:51.646885+00:00,hyperliquid,BTC,0.00248,178.5848,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,71999.0,,2026-03-15T21:58:20.104454+00:00,hyperliquid,BTC,0.00248,178.55752,0xc6ef411a92428ec7f9fc0bc8e84ee3515bfeea7e,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,71999.0,,2026-03-15T21:58:20.144284+00:00,hyperliquid,BTC,0.00248,178.55752,0xc6ef411a92428ec7f9fc0bc8e84ee3515bfeea7e,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,71993.0,,2026-03-15T21:53:50.315829+00:00,hyperliquid,BTC,0.00248,178.54264,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,71993.0,,2026-03-15T21:53:52.518072+00:00,hyperliquid,BTC,0.00248,178.54264,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,71987.0,,2026-03-15T22:01:19.374673+00:00,hyperliquid,BTC,0.00248,178.52776,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,71987.0,,2026-03-15T22:01:19.385219+00:00,hyperliquid,BTC,0.00248,178.52776,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,71976.0,,2026-03-15T22:00:49.341498+00:00,hyperliquid,BTC,0.00248,178.50048,0xaf2ac71f62f341e5823d6985492409e92c940447,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,71976.0,,2026-03-15T22:00:49.369174+00:00,hyperliquid,BTC,0.00248,178.50048,0xaf2ac71f62f341e5823d6985492409e92c940447,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72137.0,,2026-03-15T22:02:50.162872+00:00,hyperliquid,BTC,0.00242,174.57154,0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,,short,,72026.0,,2026-03-15T21:55:15.144585+00:00,hyperliquid,BTC,0.0021,151.25459999999998,0x5bcbbb10358ddb623593e51f499568ea54c2aeed,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72026.0,,2026-03-15T21:55:15.150170+00:00,hyperliquid,BTC,0.0021,151.25459999999998,0x5bcbbb10358ddb623593e51f499568ea54c2aeed,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72024.0,,2026-03-15T21:57:44.394511+00:00,hyperliquid,BTC,0.0021,151.25039999999998,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72024.0,,2026-03-15T21:57:44.534631+00:00,hyperliquid,BTC,0.0021,151.25039999999998,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72022.0,,2026-03-15T21:58:44.470413+00:00,hyperliquid,BTC,0.0021,151.2462,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72022.0,,2026-03-15T21:58:44.612595+00:00,hyperliquid,BTC,0.0021,151.2462,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72016.0,,2026-03-15T21:56:44.387077+00:00,hyperliquid,BTC,0.0021,151.2336,0x162cc7c861ebd0c06b3d72319201150482518185,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72016.0,,2026-03-15T21:56:44.409609+00:00,hyperliquid,BTC,0.0021,151.2336,0x162cc7c861ebd0c06b3d72319201150482518185,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
