symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange,coin,size,value_usd,address,pnl
BTC,SHORT,196996.971,73043.0,2.697,1773631468808,LIMIT,72782.0,FILLED,binance,,,,,,
BTC,SHORT,196996.97,73043.0,2.697,1773631468808,,,,binance,binance,,,,,
BTC,SHORT,36598.05,73196.1,0.5,1773631546944,,,,bybit,,,,,,
BTC,SHORT,12562.76,72785.4,17.26,1773631471328,,,,okx,,,,,,
BTC,SHORT,12066.53,73086.2,16.51,1773631493496,,,,okx,,,,,,
BTC,SHORT,9358.016,73109.5,0.128,1773631543327,LIMIT,72817.59,FILLED,binance,,,,,,
BTC,SHORT,9354.662400000001,73083.3,0.128,1773631471289,LIMIT,72791.6,FILLED,binance,,,,,,
BTC,SHORT,9354.66,73083.3,0.128,1773631471289,,,,binance,binance,,,,,
BTC,SHORT,7816.35,73050.0,0.107,1773631469839,,,,binance,binance,,,,,
BTC,SHORT,7816.349999999999,73050.0,0.107,1773631469839,LIMIT,72784.5,FILLED,binance,,,,,,
BTC,SHORT,5117.042000000001,73100.6,0.07,1773631494647,LIMIT,72822.5,FILLED,binance,,,,,,
BTC,SHORT,5117.04,73100.6,0.07,1773631494647,,,,binance,binance,,,,,
BTC,SHORT,3143.8934,73113.8,0.043,1773631497305,LIMIT,72802.5,FILLED,binance,,,,,,
BTC,SHORT,3000.39,72825.1,4.12,1773631546144,,,,okx,,,,,,
BTC,SHORT,2048.82,73172.3,0.028,1773631501444,,,,bybit,,,,,,
BTC,SHORT,2047.0548000000001,73109.1,0.028,1773631495743,LIMIT,72824.2,FILLED,binance,,,,,,
BTC,SHORT,2047.05,73109.1,0.028,1773631495743,,,,binance,binance,,,,,
BTC,SHORT,1683.66,73202.4,0.023,1773631546944,,,,bybit,,,,,,
BTC,SHORT,1680.6744,73072.8,0.023,1773631510744,LIMIT,72783.6,FILLED,binance,,,,,,
BTC,SHORT,1171.16,73197.7,0.016,1773631546443,,,,bybit,,,,,,
BTC,SHORT,1048.65,72822.9,1.44,1773631545769,,,,okx,,,,,,
BTC,SHORT,1024.91,73208.2,0.014,1773631546944,,,,bybit,,,,,,
BTC,SHORT,956.92,73047.1,1.31,1773631468116,,,,okx,,,,,,
BTC,SHORT,950.76,73135.2,0.013,1773631468944,,,,bybit,,,,,,
BTC,SHORT,884.1,73066.2,1.21,1773631469173,,,,okx,,,,,,
BTC,SHORT,877.4892000000001,73124.1,0.012,1773631547073,LIMIT,72841.8,FILLED,binance,,,,,,
BTC,SHORT,730.561,73056.1,0.01,1773631507141,LIMIT,72780.0,FILLED,binance,,,,,,
BTC,SHORT,658.16,73128.9,0.009,1773631507444,,,,bybit,,,,,,
,short,,72822.0,,2026-03-16T03:24:55.068000,,,,hyperliquid,,BTC,0.00875,637.19,0x9071bd85...,-15.9
BTC,SHORT,637.19,72822.0,0.00875,1773631495068,,,,hyperliquid,hyperliquid,,,,,
BTC,SHORT,560.88,72841.5,0.77,1773631547710,,,,okx,,,,,,
BTC,SHORT,438.83,73138.9,0.006,1773631469444,,,,bybit,,,,,,
BTC,SHORT,365.43,73085.0,0.005,1773631491433,,,,binance,binance,,,,,
BTC,SHORT,365.425,73085.0,0.005,1773631491433,LIMIT,72799.0,FILLED,binance,,,,,,
BTC,SHORT,314.25,73081.9,0.43,1773631472037,,,,okx,,,,,,
BTC,SHORT,292.3964,73099.1,0.004,1773631502492,LIMIT,72808.9,FILLED,binance,,,,,,
BTC,SHORT,219.63,73211.0,0.003,1773631546443,,,,bybit,,,,,,
BTC,SHORT,146.28,73138.0,0.002,1773631468944,,,,bybit,,,,,,
BTC,SHORT,146.25,73124.3,0.002,1773631468944,,,,bybit,,,,,,
BTC,SHORT,73.2,73196.9,0.001,1773631546944,,,,bybit,,,,,,
BTC,SHORT,73.2,73198.1,0.001,1773631546443,,,,bybit,,,,,,
BTC,SHORT,73.19,73187.1,0.001,1773631496443,,,,bybit,,,,,,
BTC,SHORT,73.11,73108.5,0.001,1773631468444,,,,bybit,,,,,,
BTC,SHORT,14.62,73098.6,0.02,1773631494059,,,,okx,,,,,,
