exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
bybit,BTC,LONG,11733.36,71983.8,0.163,1773628352944,bybit,,,
,BTC,LONG,7169.13,72342.4,9.91,1773628350271,okx,,,
,BTC,LONG,4319.72,71995.4,0.06,1773628067944,bybit,,,
,BTC,LONG,3964.642,72084.4,0.055,1773628067441,binance,LIMIT,72354.1,FILLED
binance,BTC,LONG,3964.64,72084.4,0.055,1773628067441,binance,,,
bybit,BTC,LONG,3311.72,71994.0,0.046,1773628068444,bybit,,,
bybit,BTC,LONG,1368.01,72000.5,0.019,1773628068444,bybit,,,
,BTC,LONG,281.08,72071.3,0.39,1773628067710,okx,,,
bybit,BTC,LONG,215.99,71995.3,0.003,1773628068444,bybit,,,
,BTC,LONG,43.24,72059.2,0.06,1773628068753,okx,,,
