symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,address,pnl
BTC,SHORT,7292.111400000001,74409.3,0.098,1773640235435,LIMIT,74112.1,FILLED,binance,,,,,
BTC,SHORT,3794.2521,74397.1,0.051,1773640234273,LIMIT,74110.0,FILLED,binance,,,,,
BTC,SHORT,1385.73,74103.1,1.87,1773640232458,,,,okx,,,,,
,short,,74034.0,,2026-03-16T05:47:25.103000,,,,hyperliquid,BTC,0.00705,521.94,0x9826ebed...,-12.73
BTC,SHORT,446.29019999999997,74381.7,0.006,1773640214297,LIMIT,74088.0,FILLED,binance,,,,,
BTC,SHORT,259.39,74112.1,0.35,1773640234290,,,,okx,,,,,
BTC,SHORT,148.78379999999999,74391.9,0.002,1773640233134,LIMIT,74110.0,FILLED,binance,,,,,
BTC,SHORT,74.3749,74374.9,0.001,1773640245377,LIMIT,74088.3,FILLED,binance,,,,,
