symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
BTC,LONG,10290.21,72009.9,14.29,1773623591755,okx,,,,,
BTC,LONG,9572.75,72029.7,13.29,1773623589355,okx,,,,,
,short,,72425.0,,2026-03-16T01:06:47.309692+00:00,hyperliquid,BTC,0.09063,6563.877750000001,0x2df8f8d2468f23885609b868d3c6398a1b16f43d,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72425.0,,2026-03-16T01:06:47.381133+00:00,hyperliquid,BTC,0.09063,6563.877750000001,0x2df8f8d2468f23885609b868d3c6398a1b16f43d,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72426.0,,2026-03-16T01:03:46.300001+00:00,hyperliquid,BTC,0.08923,6462.571980000001,0x9b422e571eb2cb9837efdc4f9087194d65fb070a,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72426.0,,2026-03-16T01:03:48.383030+00:00,hyperliquid,BTC,0.08923,6462.571980000001,0x9b422e571eb2cb9837efdc4f9087194d65fb070a,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72357.0,,2026-03-16T01:07:46.582270+00:00,hyperliquid,BTC,0.08472,6130.08504,0xb3a38662575bdf1541013ce987934dba919851ea,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72357.0,,2026-03-16T01:07:47.036059+00:00,hyperliquid,BTC,0.08472,6130.08504,0xb3a38662575bdf1541013ce987934dba919851ea,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72395.0,,2026-03-16T01:11:46.472065+00:00,hyperliquid,BTC,0.07448,5391.979600000001,0xfcf104006bfff47695c1dc21dad3e9de1e72098e,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72395.0,,2026-03-16T01:11:46.473225+00:00,hyperliquid,BTC,0.07448,5391.979600000001,0xfcf104006bfff47695c1dc21dad3e9de1e72098e,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72396.0,,2026-03-16T01:12:16.642954+00:00,hyperliquid,BTC,0.07447,5391.33012,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72396.0,,2026-03-16T01:12:16.920990+00:00,hyperliquid,BTC,0.07447,5391.33012,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72395.0,,2026-03-16T01:09:47.428386+00:00,hyperliquid,BTC,0.07447,5391.255649999999,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72395.0,,2026-03-16T01:09:47.445333+00:00,hyperliquid,BTC,0.07447,5391.255649999999,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72432.0,,2026-03-16T01:10:16.974680+00:00,hyperliquid,BTC,0.07377,5343.30864,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72432.0,,2026-03-16T01:10:17.039158+00:00,hyperliquid,BTC,0.07377,5343.30864,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72422.0,,2026-03-16T01:11:18.660486+00:00,hyperliquid,BTC,0.07307,5291.87554,0xadf12570c5043087cf8dc47f3c83f72196332bfa,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72422.0,,2026-03-16T01:11:18.666270+00:00,hyperliquid,BTC,0.07307,5291.87554,0xadf12570c5043087cf8dc47f3c83f72196332bfa,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72389.0,,2026-03-16T01:06:17.828964+00:00,hyperliquid,BTC,0.06745,4882.63805,0xb3a38662575bdf1541013ce987934dba919851ea,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
,short,,72389.0,,2026-03-16T01:06:17.868569+00:00,hyperliquid,BTC,0.06745,4882.63805,0xb3a38662575bdf1541013ce987934dba919851ea,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5
