exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,SHORT,13163.21,73950.6,0.178,1773648189679,binance,,,
,BTC,SHORT,9158.342400000001,73857.6,0.124,1773648059742,binance,LIMIT,73600.1,FILLED
binance,BTC,SHORT,9158.34,73857.6,0.124,1773648059742,binance,,,
,BTC,SHORT,4509.5714,73927.4,0.061,1773648093691,binance,LIMIT,73624.6,FILLED
binance,BTC,SHORT,4509.57,73927.4,0.061,1773648093691,binance,,,
binance,BTC,SHORT,2660.59,73905.2,0.036,1773648083341,binance,,,
,BTC,SHORT,2660.5871999999995,73905.2,0.036,1773648083341,binance,LIMIT,73617.0,FILLED
,BTC,SHORT,739.6,73960.4,0.01,1773648078444,bybit,,,
binance,BTC,SHORT,738.97,73896.9,0.01,1773648061320,binance,,,
,BTC,SHORT,738.9689999999999,73896.9,0.01,1773648061320,binance,LIMIT,73604.7,FILLED
,BTC,SHORT,591.29,73911.6,0.008,1773648069444,bybit,,,
