symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,address,pnl,exchange
BTC,LONG,445682.95,73680.0,604.89,1773671279410,okx,,,,,,,,,
BTC,LONG,366297.5,73259.5,5.0,1773671385944,bybit,,,,,,,,,
BTC,LONG,137230.77,73859.4,185.8,1773671316511,okx,,,,,,,,,
BTC,LONG,73305.5,73305.5,1.0,1773671377443,bybit,,,,,,,,,
BTC,LONG,44094.09,73246.0,0.602,1773671385443,bybit,,,,,,,,,
BTC,LONG,41400.15,73274.6,0.565,1773671378943,bybit,,,,,,,,,
BTC,LONG,32003.994,73572.4,0.435,1773671317106,binance,LIMIT,73805.67,FILLED,,,,,,
BTC,LONG,29328.28,73320.7,0.4,1773671375443,bybit,,,,,,,,,
BTC,LONG,18045.82,73357.0,0.246,1773671373443,bybit,,,,,,,,,
BTC,LONG,13476.68,73322.5,18.38,1773671384960,okx,,,,,,,,,
BTC,LONG,12559.25,73445.9,0.171,1773671358943,bybit,,,,,,,,,
BTC,LONG,12388.18,73651.5,16.82,1773671377168,okx,,,,,,,,,
BTC,LONG,10871.77,73457.9,0.148,1773671326444,bybit,,,,,,,,,
BTC,LONG,9903.76,73306.9,13.51,1773671386612,okx,,,,,,,,,
BTC,LONG,9578.83,73910.7,12.96,1773671308849,okx,,,,,,,,,
BTC,LONG,9199.625,73597.0,0.125,1773671312683,binance,LIMIT,73897.0,FILLED,,,,,,
BTC,LONG,8975.32,73568.2,0.122,1773671294444,bybit,,,,,,,,,
BTC,LONG,8393.35,73625.9,0.114,1773671242980,bybit,,,,,,,,,
BTC,LONG,7993.85,73540.5,10.87,1773671317888,okx,,,,,,,,,
BTC,LONG,7189.67,73364.0,0.098,1773671371944,bybit,,,,,,,,,
BTC,LONG,6604.57,73384.1,9.0,1773671375161,okx,,,,,,,,,
BTC,LONG,6591.66,73567.6,8.96,1773671399649,okx,,,,,,,,,
BTC,LONG,6185.894400000001,73641.6,0.084,1773671302990,binance,LIMIT,73919.7,FILLED,,,,,,
BTC,LONG,5863.04,73288.0,0.08,1773671378943,bybit,,,,,,,,,
BTC,LONG,5580.79,73431.4,0.076,1773671358443,bybit,,,,,,,,,
BTC,LONG,5252.53,73875.3,7.11,1773671312914,okx,,,,,,,,,
,long,,73460.0,,2026-03-16T14:30:12.063000,hyperliquid,,,,BTC,0.07084,5203.91,0xf04ec4a3...,-65.39,
BTC,LONG,4644.9081,73728.7,0.063,1773671161535,binance,LIMIT,74029.9,FILLED,,,,,,
BTC,LONG,4480.3,73447.6,0.061,1773671358443,bybit,,,,,,,,,
BTC,LONG,4264.58,73527.3,0.058,1773671311944,bybit,,,,,,,,,
BTC,LONG,4115.02,73613.9,5.59,1773671310299,okx,,,,,,,,,
BTC,LONG,3683.318,73666.36,0.05,1773671288716,binance,LIMIT,73953.5,FILLED,,,,,,
,long,,73572.0,,2026-03-16T14:29:59.132000,hyperliquid,,,,BTC,0.04876,3587.37,0xc30964fe...,-42.6,
BTC,LONG,3481.7,73608.8,4.73,1773671385287,okx,,,,,,,,,
BTC,LONG,3308.62,73525.0,0.045,1773671311444,bybit,,,,,,,,,
BTC,LONG,3263.17,73329.6,4.45,1773671382200,okx,,,,,,,,,
BTC,LONG,2962.68,73333.7,4.04,1773671381765,okx,,,,,,,,,
