symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
BTC,SHORT,29637.32,74093.3,0.4,1773658720944,bybit,,,
BTC,SHORT,23328.18,74057.7,0.315,1773658646444,bybit,,,
BTC,SHORT,22035.48,73721.9,29.89,1773658716511,okx,,,
BTC,SHORT,13746.86,73987.4,18.58,1773658646239,okx,,,
BTC,SHORT,7181.5,74036.1,0.097,1773658556443,bybit,,,
BTC,SHORT,6141.58,73994.9,0.083,1773658544443,bybit,,,
BTC,SHORT,3852.76,74091.6,0.052,1773658720444,bybit,,,
BTC,SHORT,3779.34,74104.7,0.051,1773658762454,bybit,,,
BTC,SHORT,2667.42,74094.9,0.036,1773658738443,bybit,,,
BTC,SHORT,2390.85,74020.2,3.23,1773658721945,okx,,,
BTC,SHORT,2369.78,74055.5,0.032,1773658563944,bybit,,,
BTC,SHORT,1926.82,74108.4,0.026,1773658783944,bybit,,,
BTC,SHORT,1479.94,73997.2,0.02,1773658543943,bybit,,,
BTC,SHORT,1479.49,73974.4,0.02,1773658544443,bybit,,,
BTC,SHORT,1286.25,73922.7,1.74,1773658544104,okx,,,
BTC,SHORT,1179.63,73727.1,1.6,1773658722528,okx,,,
BTC,SHORT,962.0338,74002.6,0.013,1773658717062,binance,LIMIT,73713.5,FILLED
BTC,SHORT,887.6568,73971.4,0.012,1773658564361,binance,LIMIT,73680.8,FILLED
BTC,SHORT,739.834,73983.4,0.01,1773658648239,binance,LIMIT,73686.8,FILLED
BTC,SHORT,665.703,73967.0,0.009,1773658558294,binance,LIMIT,73666.9,FILLED
BTC,SHORT,530.72,73711.6,0.72,1773658715912,okx,,,
BTC,SHORT,517.5919,73941.7,0.007,1773658557063,binance,LIMIT,73667.0,FILLED
BTC,SHORT,444.18,74030.8,0.006,1773658556443,bybit,,,
BTC,SHORT,444.14,74023.0,0.006,1773658556944,bybit,,,
BTC,SHORT,443.96160000000003,73993.6,0.006,1773658647146,binance,LIMIT,73699.7,FILLED
BTC,SHORT,370.51,74102.8,0.005,1773658762943,bybit,,,
BTC,SHORT,296.16,74039.8,0.004,1773658556443,bybit,,,
BTC,SHORT,296.13,74033.4,0.004,1773658556443,bybit,,,
BTC,SHORT,296.07,74018.6,0.004,1773658555944,bybit,,,
BTC,SHORT,296.06,74016.1,0.004,1773658555943,bybit,,,
BTC,SHORT,222.27,74091.5,0.003,1773658716444,bybit,,,
BTC,SHORT,221.7222,73907.4,0.003,1773658544310,binance,LIMIT,73618.3,FILLED
BTC,SHORT,185.06,74023.9,0.25,1773658762705,okx,,,
BTC,SHORT,154.79,73709.0,0.21,1773658680127,okx,,,
BTC,SHORT,148.05,74025.2,0.002,1773658556944,bybit,,,
BTC,SHORT,148.02,74011.3,0.002,1773658556443,bybit,,,
BTC,SHORT,147.89679999999998,73948.4,0.002,1773658577208,binance,LIMIT,73622.7,FILLED
BTC,SHORT,133.04,73909.7,0.18,1773658543673,okx,,,
BTC,SHORT,103.13,73664.8,0.14,1773658555818,okx,,,
BTC,SHORT,74.08,74076.7,0.001,1773658646444,bybit,,,
BTC,SHORT,74.07,74074.7,0.001,1773658645944,bybit,,,
BTC,SHORT,74.05,74053.9,0.001,1773658564943,bybit,,,
BTC,SHORT,74.01,74006.4,0.001,1773658556944,bybit,,,
BTC,SHORT,73.69,73687.2,0.1,1773658563878,okx,,,
BTC,SHORT,29.61,74031.0,0.04,1773658782743,okx,,,
BTC,SHORT,7.4,74017.3,0.01,1773658717582,okx,,,
BTC,SHORT,7.4,73972.0,0.01,1773658556401,okx,,,
BTC,SHORT,7.37,73728.1,0.01,1773658736922,okx,,,
