symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address,exchange
BTC,LONG,366498.0,73299.6,5.0,1773641543969,bybit,,,,,,,,,
BTC,LONG,148764.86,73247.1,2.031,1773641557943,bybit,,,,,,,,,
BTC,LONG,27035.39,73405.9,36.83,1773641394946,okx,,,,,,,,,
BTC,LONG,21770.87,73302.6,0.297,1773641541444,bybit,,,,,,,,,
BTC,LONG,15533.77,73272.5,0.212,1773641553944,bybit,,,,,,,,,
BTC,LONG,12723.16,73629.4,17.28,1773641552338,okx,,,,,,,,,
BTC,LONG,8994.55,73365.0,12.26,1773641543162,okx,,,,,,,,,
BTC,LONG,8288.5,73349.6,0.113,1773641352444,bybit,,,,,,,,,
BTC,LONG,6304.45,73307.6,0.086,1773641536444,bybit,,,,,,,,,
BTC,LONG,6238.24,73391.0,0.085,1773641327944,bybit,,,,,,,,,
BTC,LONG,6163.88,73379.5,0.084,1773641327944,bybit,,,,,,,,,
BTC,LONG,5505.42,73405.6,0.075,1773641395098,binance,LIMIT,73687.7,FILLED,,,,,,
BTC,LONG,4712.99,73296.9,6.43,1773641557373,okx,,,,,,,,,
BTC,LONG,3708.51,73435.8,5.05,1773641329416,okx,,,,,,,,,
BTC,LONG,3458.45,73741.0,4.69,1773641328175,okx,,,,,,,,,
BTC,LONG,2740.26,73465.5,3.73,1773641327217,okx,,,,,,,,,
BTC,LONG,2709.67,73234.3,0.037,1773641554444,bybit,,,,,,,,,
,long,,73698.0,,2026-03-16T06:10:57.450299+00:00,hyperliquid,,,,BTC,0.02546,1876.35108,0x8b800a3cedd06605d2ef8cb4ffeb44dac46fb060,0xb3a38662575bdf1541013ce987934dba919851ea,
,long,,73698.0,,2026-03-16T06:10:57.687943+00:00,hyperliquid,,,,BTC,0.02546,1876.35108,0x8b800a3cedd06605d2ef8cb4ffeb44dac46fb060,0xb3a38662575bdf1541013ce987934dba919851ea,
,long,,73687.0,,2026-03-16T06:11:57.512120+00:00,hyperliquid,,,,BTC,0.02546,1876.07102,0x8b800a3cedd06605d2ef8cb4ffeb44dac46fb060,0xffc3f687ec973070f01cc06c447763cf520b20e0,
,long,,73687.0,,2026-03-16T06:11:57.898793+00:00,hyperliquid,,,,BTC,0.02546,1876.07102,0x8b800a3cedd06605d2ef8cb4ffeb44dac46fb060,0xffc3f687ec973070f01cc06c447763cf520b20e0,
,long,,73699.0,,2026-03-16T06:10:27.368026+00:00,hyperliquid,,,,BTC,0.02545,1875.63955,0x8b800a3cedd06605d2ef8cb4ffeb44dac46fb060,0xd13d96f7b6bb6dd3ad865e23f1265e5885f1069c,
