exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,SHORT,21968.1,73227.0,0.3,1773615883720,binance,,,
,BTC,SHORT,7336.75,73367.5,0.1,1773615943443,bybit,,,
binance,BTC,SHORT,2123.24,73215.2,0.029,1773615835486,binance,,,
,BTC,SHORT,1760.37,73348.6,0.024,1773615943443,bybit,,,
,BTC,SHORT,1467.13,73356.3,0.02,1773615943944,bybit,,,
,BTC,SHORT,1466.06,73303.1,0.02,1773615935444,bybit,,,
,BTC,SHORT,1174.29,73393.1,0.016,1773615953944,bybit,,,
,BTC,SHORT,991.99,72940.7,1.36,1773615927794,okx,,,
,BTC,SHORT,586.94,73367.8,0.008,1773615943944,bybit,,,
binance,BTC,SHORT,585.13,73141.1,0.008,1773615701075,binance,,,
,BTC,SHORT,585.1288000000001,73141.1,0.008,1773615701075,binance,LIMIT,72848.6,FILLED
,BTC,SHORT,220.15,73383.7,0.003,1773615953444,bybit,,,
,BTC,SHORT,146.78,73391.0,0.002,1773615953444,bybit,,,
binance,BTC,SHORT,146.34,73170.4,0.002,1773615735476,binance,,,
