timestamp,coin,side,size,price,value_usd,liquidated_address,liquidator_address,_exchange,symbol,value,quantity
2026-03-16T07:10:06.451496+00:00,BTC,long,0.00391,73830.0,288.6753,0x0c684f333a7e120bce61383da670bbb0157e82d0,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,hyperliquid,,,
2026-03-16T07:10:06.586276+00:00,BTC,long,0.00391,73830.0,288.6753,0x0c684f333a7e120bce61383da670bbb0157e82d0,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,hyperliquid,,,
2026-03-16T07:05:35.800598+00:00,BTC,long,0.00391,73829.0,288.67139000000003,0x0c684f333a7e120bce61383da670bbb0157e82d0,0xa1d22621c9b077ce4ac468908114a82b2de4a8db,hyperliquid,,,
2026-03-16T07:05:36.203755+00:00,BTC,long,0.00391,73829.0,288.67139000000003,0x0c684f333a7e120bce61383da670bbb0157e82d0,0xa1d22621c9b077ce4ac468908114a82b2de4a8db,hyperliquid,,,
2026-03-16T07:07:06.604589+00:00,BTC,long,0.00391,73817.0,288.62447000000003,0x0c684f333a7e120bce61383da670bbb0157e82d0,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e,hyperliquid,,,
2026-03-16T07:07:06.876319+00:00,BTC,long,0.00391,73817.0,288.62447000000003,0x0c684f333a7e120bce61383da670bbb0157e82d0,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e,hyperliquid,,,
2026-03-16T07:07:37.413498+00:00,BTC,long,0.00371,73844.0,273.96124000000003,0x0c684f333a7e120bce61383da670bbb0157e82d0,0xa62b923a112d50d03e1e096bbd53422490dac104,hyperliquid,,,
2026-03-16T07:07:37.414529+00:00,BTC,long,0.00371,73844.0,273.96124000000003,0x0c684f333a7e120bce61383da670bbb0157e82d0,0xa62b923a112d50d03e1e096bbd53422490dac104,hyperliquid,,,
2026-03-16T07:13:24.483709+00:00,BTC,long,0.0036,73833.0,265.79879999999997,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x13558be785661958932ceac35ba20de187275a42,hyperliquid,,,
2026-03-16T07:13:24.546923+00:00,BTC,long,0.0036,73833.0,265.79879999999997,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x13558be785661958932ceac35ba20de187275a42,hyperliquid,,,
2026-03-16T07:11:22.412311+00:00,BTC,short,0.00348,73876.0,257.08848,0xd13d96f7b6bb6dd3ad865e23f1265e5885f1069c,0x6e2c5323888a98cbbe4d29cfbf1113841ffcf48e,hyperliquid,,,
2026-03-16T07:11:22.437937+00:00,BTC,short,0.00348,73876.0,257.08848,0xd13d96f7b6bb6dd3ad865e23f1265e5885f1069c,0x6e2c5323888a98cbbe4d29cfbf1113841ffcf48e,hyperliquid,,,
2026-03-16T07:10:52.629133+00:00,BTC,short,0.00348,73864.0,257.04672,0xb3a38662575bdf1541013ce987934dba919851ea,0x6e2c5323888a98cbbe4d29cfbf1113841ffcf48e,hyperliquid,,,
2026-03-16T07:10:55.838857+00:00,BTC,short,0.00348,73864.0,257.04672,0xb3a38662575bdf1541013ce987934dba919851ea,0x6e2c5323888a98cbbe4d29cfbf1113841ffcf48e,hyperliquid,,,
2026-03-16T07:08:52.534356+00:00,BTC,short,0.00348,73854.0,257.01192,0x2cb562384765bea1612ceb60007e315f904fbe86,0x6e2c5323888a98cbbe4d29cfbf1113841ffcf48e,hyperliquid,,,
2026-03-16T07:08:55.444705+00:00,BTC,short,0.00348,73854.0,257.01192,0x2cb562384765bea1612ceb60007e315f904fbe86,0x6e2c5323888a98cbbe4d29cfbf1113841ffcf48e,hyperliquid,,,
2026-03-16T07:09:54.301171+00:00,BTC,short,0.00348,73854.0,257.01192,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0x6e2c5323888a98cbbe4d29cfbf1113841ffcf48e,hyperliquid,,,
