timestamp,coin,side,size,price,value_usd,liquidated_address,liquidator_address,_exchange
2026-03-15T14:17:07.714822+00:00,BTC,short,0.00104,71478.0,74.33712,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:16:36.593268+00:00,BTC,short,0.00104,71466.0,74.32463999999999,0xb668858ff53322d5511651a2cd92391eb5d60ee3,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:16:37.630934+00:00,BTC,short,0.00104,71466.0,74.32463999999999,0xb668858ff53322d5511651a2cd92391eb5d60ee3,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:17:35.569518+00:00,BTC,short,0.00104,71465.0,74.3236,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:17:36.656858+00:00,BTC,short,0.00104,71465.0,74.3236,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:18:06.380247+00:00,BTC,short,0.00104,71459.0,74.31736,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:18:06.396063+00:00,BTC,short,0.00104,71459.0,74.31736,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:19:36.422023+00:00,BTC,short,0.00104,71433.0,74.29032,0xf5d889840ff183c72b0b57aac895303eee76f226,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:19:36.426516+00:00,BTC,short,0.00104,71433.0,74.29032,0xf5d889840ff183c72b0b57aac895303eee76f226,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:18:36.457167+00:00,BTC,short,0.00104,71431.0,74.28823999999999,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:18:36.472148+00:00,BTC,short,0.00104,71431.0,74.28823999999999,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:19:06.507746+00:00,BTC,short,0.00104,71431.0,74.28823999999999,0xd13d96f7b6bb6dd3ad865e23f1265e5885f1069c,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
2026-03-15T14:19:06.542574+00:00,BTC,short,0.00104,71431.0,74.28823999999999,0xd13d96f7b6bb6dd3ad865e23f1265e5885f1069c,0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,hyperliquid
