exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,LONG,7435.45,72188.8,0.103,1773620769121,binance,,,
,BTC,LONG,7435.4464,72188.8,0.103,1773620769121,binance,LIMIT,72479.1,FILLED
,BTC,LONG,1588.0216,72182.8,0.022,1773620797645,binance,LIMIT,72468.5,FILLED
binance,BTC,LONG,1588.02,72182.8,0.022,1773620797645,binance,,,
,BTC,LONG,360.901,72180.2,0.005,1773620807194,binance,LIMIT,72469.1,FILLED
binance,BTC,LONG,360.9,72180.2,0.005,1773620807194,binance,,,
,BTC,LONG,288.79240000000004,72198.1,0.004,1773620765807,binance,LIMIT,72476.8,FILLED
binance,BTC,LONG,288.79,72198.1,0.004,1773620765807,binance,,,
