exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,SHORT,2148.51,74086.5,0.029,1773635811321,binance,,,
,BTC,SHORT,2148.5085,74086.5,0.029,1773635811321,binance,LIMIT,73790.8,FILLED
,BTC,LONG,1837.5,73500.0,0.025,1773635813585,binance,LIMIT,73770.9,FILLED
,BTC,SHORT,1039.98,73757.5,1.41,1773635806848,okx,,,
,BTC,SHORT,592.5824,74072.8,0.008,1773635810170,binance,LIMIT,73788.0,FILLED
binance,BTC,SHORT,592.58,74072.8,0.008,1773635810170,binance,,,
binance,BTC,SHORT,592.43,74053.7,0.008,1773635809145,binance,,,
,BTC,SHORT,592.4295999999999,74053.7,0.008,1773635809145,binance,LIMIT,73783.9,FILLED
,BTC,SHORT,221.9949,73998.3,0.003,1773635745559,binance,LIMIT,73719.6,FILLED
binance,BTC,SHORT,221.99,73998.3,0.003,1773635745559,binance,,,
binance,BTC,LONG,146.86,73429.1,0.002,1773635794576,binance,,,
,BTC,LONG,146.8582,73429.1,0.002,1773635794576,binance,LIMIT,73719.9,FILLED
