symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,exchange,coin,size,value_usd,address,pnl
BTC,SHORT,185743.38,74655.7,2.488,1773632416451,bybit,,,,,,,,,
BTC,SHORT,141883.4934,74557.8,1.903,1773632418199,binance,LIMIT,74288.09,FILLED,,,,,,
BTC,SHORT,141883.49,74557.8,1.903,1773632418199,binance,,,,binance,,,,,
BTC,SHORT,133422.73,74579.5,1.789,1773632425625,binance,,,,binance,,,,,
BTC,SHORT,133422.7255,74579.5,1.789,1773632425625,binance,LIMIT,74267.8,FILLED,,,,,,
BTC,LONG,119913.0,73476.1,1.632,1773632505154,binance,,,,binance,,,,,
BTC,LONG,119912.9952,73476.1,1.632,1773632505154,binance,LIMIT,73761.99,FILLED,,,,,,
BTC,SHORT,111375.0,74250.0,1.5,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,74562.9,74562.9,1.0,1773632415951,bybit,,,,,,,,,
BTC,SHORT,55687.5,74250.0,0.75,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,52470.25,74250.0,0.70667,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,50785.51,74250.0,0.68398,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,45941.57,74249.0,0.61875,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,44749.5,74582.5,60.0,1773632423929,okx,,,,,,,,,
BTC,SHORT,44722.02,74536.7,0.6,1773632417183,binance,LIMIT,74262.0,FILLED,,,,,,
BTC,SHORT,44686.62,74250.0,0.60184,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,43039.7,74592.2,0.577,1773632416944,bybit,,,,,,,,,
BTC,SHORT,42464.75,74630.5,0.569,1773632416944,bybit,,,,,,,,,
BTC,SHORT,42276.64,74249.0,0.56939,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,41347.79,74635.0,0.554,1773632416451,bybit,,,,,,,,,
,short,,74223.0,,2026-03-16T03:40:21.216000,hyperliquid,,,,,BTC,0.55688,41333.3,0x29beb573...,-3284.37
BTC,SHORT,41333.3,74223.0,0.55688,1773632421216,hyperliquid,,,,hyperliquid,,,,,
BTC-USD,SHORT,40430.0,74562.5,404.3,1773632416323,okx,,,,,,,,,
BTC,SHORT,38529.81,74250.0,0.51892,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,37591.53,74249.0,0.50629,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,LONG,36723.2,73446.4,50.0,1773632571838,okx,,,,,,,,,
BTC,SHORT,36568.06,74628.7,0.49,1773632416451,bybit,,,,,,,,,
BTC,SHORT,35889.74,74249.0,0.48337,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,32780.264,74500.6,0.44,1773632416128,binance,LIMIT,74270.2,FILLED,,,,,,
BTC,SHORT,32780.26,74500.6,0.44,1773632416128,binance,,,,binance,,,,,
BTC,SHORT,31937.9,74250.0,0.43014,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,31937.46,74249.0,0.43014,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,30935.52,74250.0,0.41664,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,30935.1,74249.0,0.41664,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,30682.88,74654.2,0.411,1773632416451,bybit,,,,,,,,,
BTC,SHORT,30007.4,74250.0,0.40414,1773632418051,hyperliquid,,,,hyperliquid,,,,,
,short,,74259.0,,2026-03-16T03:40:24.719000,hyperliquid,,,,,BTC,0.38119,28306.79,0x97f5fb46...,-1196.9
BTC,SHORT,28306.79,74259.0,0.38119,1773632424719,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,27366.13,74567.1,0.367,1773632416451,bybit,,,,,,,,,
BTC,SHORT,27224.95,74588.9,0.365,1773632416944,bybit,,,,,,,,,
BTC,SHORT,26636.44,74250.0,0.35874,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,25477.8,74249.0,0.34314,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,25444.39,74249.0,0.34269,1773632418051,hyperliquid,,,,hyperliquid,,,,,
,short,,74250.0,,2026-03-16T03:40:18.051000,hyperliquid,,,,,BTC,0.3295,24465.38,0xf912baa5...,-2028.5
BTC,SHORT,24465.38,74250.0,0.3295,1773632418051,hyperliquid,,,,hyperliquid,,,,,
,short,,74228.0,,2026-03-16T03:40:21.216000,hyperliquid,,,,,BTC,0.32954,24461.1,0x29beb573...,-1945.21
BTC,SHORT,24461.1,74228.0,0.32954,1773632421216,hyperliquid,,,,hyperliquid,,,,,
BTC,LONG,24071.31,73793.1,32.62,1773632484939,okx,,,,,,,,,
,short,,74250.0,,2026-03-16T03:40:18.051000,hyperliquid,,,,,BTC,0.3221,23915.92,0xf912baa5...,-1982.94
BTC,SHORT,23915.92,74250.0,0.3221,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,23797.12,74250.0,0.3205,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,23796.8,74249.0,0.3205,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,23626.77,74249.0,0.31821,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,23041.233900000003,74567.1,0.309,1773632423060,binance,LIMIT,74268.7,FILLED,,,,,,
BTC,SHORT,23041.23,74567.1,0.309,1773632423060,binance,,,,binance,,,,,
,short,,74250.0,,2026-03-16T03:40:18.051000,hyperliquid,,,,,BTC,0.30914,22953.65,0xf912baa5...,-1903.16
BTC,SHORT,22953.65,74250.0,0.30914,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,22953.34,74249.0,0.30914,1773632418051,hyperliquid,,,,hyperliquid,,,,,
BTC,SHORT,22199.27,74250.0,0.29898,1773632418051,hyperliquid,,,,hyperliquid,,,,,
