exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,SHORT,20110.63,72864.6,0.276,1773624235248,binance,,,
,BTC,SHORT,20110.629600000004,72864.6,0.276,1773624235248,binance,LIMIT,72584.1,FILLED
,BTC,SHORT,1825.39,73015.7,0.025,1773624437444,bybit,,,
binance,BTC,SHORT,873.93,72827.2,0.012,1773624197344,binance,,,
,BTC,SHORT,873.9264,72827.2,0.012,1773624197344,binance,LIMIT,72534.0,FILLED
,BTC,SHORT,747.29,72552.8,1.03,1773624218826,okx,,,
binance,BTC,SHORT,437.02,72836.2,0.006,1773624217160,binance,,,
,BTC,SHORT,437.0172,72836.2,0.006,1773624217160,binance,LIMIT,72554.2,FILLED
