exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,LONG,2265.35,73075.8,0.031,1773647611845,binance,,,
,BTC,LONG,2265.3498,73075.8,0.031,1773647611845,binance,LIMIT,73363.1,FILLED
,BTC,LONG,2191.9701,73065.67,0.03,1773647618520,binance,LIMIT,73366.2,FILLED
binance,BTC,LONG,2191.97,73065.67,0.03,1773647618520,binance,,,
binance,BTC,LONG,1388.27,73066.8,0.019,1773647614078,binance,,,
,BTC,LONG,1388.2692,73066.8,0.019,1773647614078,binance,LIMIT,73363.2,FILLED
,BTC,LONG,942.68,73076.0,1.29,1773647608375,okx,,,
binance,BTC,LONG,584.66,73082.2,0.008,1773647559144,binance,,,
,BTC,LONG,584.6576,73082.2,0.008,1773647559144,binance,LIMIT,73368.4,FILLED
binance,BTC,LONG,584.62,73077.3,0.008,1773647610361,binance,,,
,BTC,LONG,584.6184000000001,73077.3,0.008,1773647610361,binance,LIMIT,73363.1,FILLED
,BTC,LONG,146.1629,73081.45,0.002,1773647562513,binance,LIMIT,73374.7,FILLED
binance,BTC,LONG,146.16,73081.45,0.002,1773647562513,binance,,,
,BTC,LONG,51.15,73072.3,0.07,1773647609740,okx,,,
,BTC,SHORT,22.02,73385.2,0.03,1773647601901,okx,,,
,BTC,LONG,21.92,73064.6,0.03,1773647610009,okx,,,
