symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,address,pnl,exchange
BTC,SHORT,50301.066900000005,74081.1,0.679,1773636423471,LIMIT,73795.4,FILLED,binance,,,,,,
,long,,73819.0,,2026-03-16T04:47:15.309000,,,,hyperliquid,BTC,0.17725,13084.42,0xd56d486c...,375.52,
BTC,LONG,13084.42,73819.0,0.17725,1773636435309,,,,hyperliquid,,,,,,hyperliquid
BTC,SHORT,2147.7110000000002,74059.0,0.029,1773636389964,LIMIT,73775.9,FILLED,binance,,,,,,
,long,,73817.0,,2026-03-16T04:47:15.309000,,,,hyperliquid,BTC,0.01313,969.22,0xd56d486c...,27.79,
BTC,LONG,969.22,73817.0,0.01313,1773636435309,,,,hyperliquid,,,,,,hyperliquid
BTC,SHORT,741.065,74106.5,0.01,1773636429186,LIMIT,73818.8,FILLED,binance,,,,,,
,long,,73818.0,,2026-03-16T04:47:15.309000,,,,hyperliquid,BTC,0.00948,699.79,0xd56d486c...,20.07,
BTC,LONG,699.79,73818.0,0.00948,1773636435309,,,,hyperliquid,,,,,,hyperliquid
BTC,SHORT,148.0794,74039.7,0.002,1773636387222,LIMIT,73759.4,FILLED,binance,,,,,,
,long,,73817.0,,2026-03-16T04:47:15.309000,,,,hyperliquid,BTC,0.00014,10.33,0xd56d486c...,0.3,
BTC,LONG,10.33,73817.0,0.00014,1773636435309,,,,hyperliquid,,,,,,hyperliquid
