exchange,symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
binance,BTC,SHORT,13163.21,73950.6,0.178,1773648189679,binance,,,,,,,,
,,short,,73648.0,,2026-03-16T08:03:08.373495+00:00,hyperliquid,BTC,0.16298,12003.15104,0x362c5006ed0a405c35df4a138cb38d891f1a1a20,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73648.0,,2026-03-16T08:03:08.383283+00:00,hyperliquid,BTC,0.16298,12003.15104,0x362c5006ed0a405c35df4a138cb38d891f1a1a20,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73600.0,,2026-03-16T08:02:08.345122+00:00,hyperliquid,BTC,0.15055,11080.48,0xb3a38662575bdf1541013ce987934dba919851ea,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73600.0,,2026-03-16T08:02:08.353769+00:00,hyperliquid,BTC,0.15055,11080.48,0xb3a38662575bdf1541013ce987934dba919851ea,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73606.0,,2026-03-16T08:03:38.413279+00:00,hyperliquid,BTC,0.13812,10166.46072,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73606.0,,2026-03-16T08:03:40.476851+00:00,hyperliquid,BTC,0.13812,10166.46072,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73619.0,,2026-03-16T08:05:09.607930+00:00,hyperliquid,BTC,0.13396,9862.00124,0xb3a38662575bdf1541013ce987934dba919851ea,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73619.0,,2026-03-16T08:05:10.610087+00:00,hyperliquid,BTC,0.13396,9862.00124,0xb3a38662575bdf1541013ce987934dba919851ea,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73620.0,,2026-03-16T08:04:38.247098+00:00,hyperliquid,BTC,0.11878,8744.5836,0xadc9cf23f55c6221a05a8150e5768d7c3289562f,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73620.0,,2026-03-16T08:04:39.601450+00:00,hyperliquid,BTC,0.11878,8744.5836,0xadc9cf23f55c6221a05a8150e5768d7c3289562f,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73620.0,,2026-03-16T08:02:38.391647+00:00,hyperliquid,BTC,0.11496,8463.3552,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73620.0,,2026-03-16T08:02:39.202303+00:00,hyperliquid,BTC,0.11496,8463.3552,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73625.0,,2026-03-16T08:05:39.109486+00:00,hyperliquid,BTC,0.08549,6294.20125,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73625.0,,2026-03-16T08:05:40.111910+00:00,hyperliquid,BTC,0.08549,6294.20125,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73654.0,,2026-03-16T08:04:08.364656+00:00,hyperliquid,BTC,0.07837,5772.26398,0x5bcbbb10358ddb623593e51f499568ea54c2aeed,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73654.0,,2026-03-16T08:04:11.310133+00:00,hyperliquid,BTC,0.07837,5772.26398,0x5bcbbb10358ddb623593e51f499568ea54c2aeed,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,BTC,SHORT,4509.5714,73927.4,0.061,1773648093691,binance,,,,,,LIMIT,73624.6,FILLED
binance,BTC,SHORT,4509.57,73927.4,0.061,1773648093691,binance,,,,,,,,
,,short,,73625.0,,2026-03-16T08:05:38.453152+00:00,hyperliquid,BTC,0.05983,4404.98375,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73625.0,,2026-03-16T08:05:39.108933+00:00,hyperliquid,BTC,0.05983,4404.98375,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73623.0,,2026-03-16T08:06:08.411030+00:00,hyperliquid,BTC,0.05162,3800.41926,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73623.0,,2026-03-16T08:06:09.479172+00:00,hyperliquid,BTC,0.05162,3800.41926,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73623.0,,2026-03-16T08:06:08.327673+00:00,hyperliquid,BTC,0.04087,3008.97201,0xb2b1d1a7a034d9209a627e754ebb8d24988ca23a,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73623.0,,2026-03-16T08:06:09.478094+00:00,hyperliquid,BTC,0.04087,3008.97201,0xb2b1d1a7a034d9209a627e754ebb8d24988ca23a,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73623.0,,2026-03-16T08:06:08.396361+00:00,hyperliquid,BTC,0.03681,2710.0626300000004,0x48ea62a2cc8391fbbe210e8ee89db573a8ec145f,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73623.0,,2026-03-16T08:06:09.478656+00:00,hyperliquid,BTC,0.03681,2710.0626300000004,0x48ea62a2cc8391fbbe210e8ee89db573a8ec145f,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
binance,BTC,SHORT,2660.59,73905.2,0.036,1773648083341,binance,,,,,,,,
,BTC,SHORT,2660.5871999999995,73905.2,0.036,1773648083341,binance,,,,,,LIMIT,73617.0,FILLED
,,short,,73654.0,,2026-03-16T08:04:08.325232+00:00,hyperliquid,BTC,0.02562,1887.01548,0x362c5006ed0a405c35df4a138cb38d891f1a1a20,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73654.0,,2026-03-16T08:04:08.364225+00:00,hyperliquid,BTC,0.02562,1887.01548,0x362c5006ed0a405c35df4a138cb38d891f1a1a20,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73654.0,,2026-03-16T08:04:08.365014+00:00,hyperliquid,BTC,0.02309,1700.67086,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73654.0,,2026-03-16T08:04:11.310695+00:00,hyperliquid,BTC,0.02309,1700.67086,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73623.0,,2026-03-16T08:06:08.411442+00:00,hyperliquid,BTC,0.01573,1158.08979,0x3ff54fd26855db3758d0b5ae7aed47440c47f705,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,short,,73623.0,,2026-03-16T08:06:09.479593+00:00,hyperliquid,BTC,0.01573,1158.08979,0x3ff54fd26855db3758d0b5ae7aed47440c47f705,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,BTC,SHORT,739.6,73960.4,0.01,1773648078444,bybit,,,,,,,,
,,long,,73490.0,,2026-03-16T08:00:54.674828+00:00,hyperliquid,BTC,0.00656,482.0944,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x2cb562384765bea1612ceb60007e315f904fbe86,,,
,,long,,73490.0,,2026-03-16T08:00:54.721626+00:00,hyperliquid,BTC,0.00656,482.0944,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x2cb562384765bea1612ceb60007e315f904fbe86,,,
,,long,,73445.0,,2026-03-16T07:59:24.379270+00:00,hyperliquid,BTC,0.00592,434.7944,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xc6d7fdfbcb55d6cad6570c5838de394d2aa24015,,,
,,long,,73445.0,,2026-03-16T07:59:24.386374+00:00,hyperliquid,BTC,0.00592,434.7944,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xc6d7fdfbcb55d6cad6570c5838de394d2aa24015,,,
,,long,,73612.0,,2026-03-16T08:05:55.259050+00:00,hyperliquid,BTC,0.00573,421.79676,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1700acdd94010de35087b45b601d0e1b90c2697f,,,
,,long,,73612.0,,2026-03-16T08:05:55.361973+00:00,hyperliquid,BTC,0.00573,421.79676,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1700acdd94010de35087b45b601d0e1b90c2697f,,,
,,long,,73464.0,,2026-03-16T07:57:54.561030+00:00,hyperliquid,BTC,0.00533,391.56311999999997,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x4d969e59b312970cc07af266938a4433ccae0b4c,,,
,,long,,73464.0,,2026-03-16T07:57:54.584809+00:00,hyperliquid,BTC,0.00533,391.56311999999997,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x4d969e59b312970cc07af266938a4433ccae0b4c,,,
,,long,,73622.0,,2026-03-16T08:02:24.685128+00:00,hyperliquid,BTC,0.00518,381.36195999999995,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb668858ff53322d5511651a2cd92391eb5d60ee3,,,
,,long,,73622.0,,2026-03-16T08:02:24.777887+00:00,hyperliquid,BTC,0.00518,381.36195999999995,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb668858ff53322d5511651a2cd92391eb5d60ee3,,,
,,long,,73468.0,,2026-03-16T07:56:54.320146+00:00,hyperliquid,BTC,0.00518,380.56424,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x13558be785661958932ceac35ba20de187275a42,,,
,,long,,73468.0,,2026-03-16T07:56:54.361337+00:00,hyperliquid,BTC,0.00518,380.56424,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x13558be785661958932ceac35ba20de187275a42,,,
,,long,,73635.0,,2026-03-16T08:02:54.342580+00:00,hyperliquid,BTC,0.00503,370.38405,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,,,
,,long,,73635.0,,2026-03-16T08:02:54.404054+00:00,hyperliquid,BTC,0.00503,370.38405,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,,,
,,long,,73627.0,,2026-03-16T08:05:25.158975+00:00,hyperliquid,BTC,0.00493,362.98111,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xe92cdf7b804a836a71219cda2b00274d57ac030f,,,
,,long,,73627.0,,2026-03-16T08:05:25.253040+00:00,hyperliquid,BTC,0.00493,362.98111,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xe92cdf7b804a836a71219cda2b00274d57ac030f,,,
,,long,,73655.0,,2026-03-16T08:04:01.337419+00:00,hyperliquid,BTC,0.00492,362.38259999999997,0x1805e1c7683929768c541c142d541224f1076737,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,,long,,73655.0,,2026-03-16T08:04:01.394315+00:00,hyperliquid,BTC,0.00492,362.38259999999997,0x1805e1c7683929768c541c142d541224f1076737,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,,long,,73651.0,,2026-03-16T08:04:31.430491+00:00,hyperliquid,BTC,0.00492,362.36292,0x1805e1c7683929768c541c142d541224f1076737,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,,long,,73651.0,,2026-03-16T08:04:31.491019+00:00,hyperliquid,BTC,0.00492,362.36292,0x1805e1c7683929768c541c142d541224f1076737,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,,long,,73637.0,,2026-03-16T08:05:01.482151+00:00,hyperliquid,BTC,0.00492,362.29404,0x1805e1c7683929768c541c142d541224f1076737,0xf5d889840ff183c72b0b57aac895303eee76f226,,,
,,long,,73637.0,,2026-03-16T08:05:01.513356+00:00,hyperliquid,BTC,0.00492,362.29404,0x1805e1c7683929768c541c142d541224f1076737,0xf5d889840ff183c72b0b57aac895303eee76f226,,,
,,long,,73626.0,,2026-03-16T08:05:32.204077+00:00,hyperliquid,BTC,0.00492,362.23992,0x1805e1c7683929768c541c142d541224f1076737,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90,,,
,,long,,73626.0,,2026-03-16T08:05:32.759047+00:00,hyperliquid,BTC,0.00492,362.23992,0x1805e1c7683929768c541c142d541224f1076737,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90,,,
,,long,,73622.0,,2026-03-16T08:02:32.424997+00:00,hyperliquid,BTC,0.00492,362.22024,0x1805e1c7683929768c541c142d541224f1076737,0xb668858ff53322d5511651a2cd92391eb5d60ee3,,,
,,long,,73622.0,,2026-03-16T08:02:32.767081+00:00,hyperliquid,BTC,0.00492,362.22024,0x1805e1c7683929768c541c142d541224f1076737,0xb668858ff53322d5511651a2cd92391eb5d60ee3,,,
,,long,,73611.0,,2026-03-16T08:01:31.418695+00:00,hyperliquid,BTC,0.00492,362.16612,0x1805e1c7683929768c541c142d541224f1076737,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,,,
,,long,,73611.0,,2026-03-16T08:01:31.427976+00:00,hyperliquid,BTC,0.00492,362.16612,0x1805e1c7683929768c541c142d541224f1076737,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,,,
,,long,,73590.0,,2026-03-16T08:02:01.328203+00:00,hyperliquid,BTC,0.00492,362.0628,0x1805e1c7683929768c541c142d541224f1076737,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,,long,,73590.0,,2026-03-16T08:02:01.337636+00:00,hyperliquid,BTC,0.00492,362.0628,0x1805e1c7683929768c541c142d541224f1076737,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,,long,,73475.0,,2026-03-16T07:57:02.331488+00:00,hyperliquid,BTC,0.00492,361.497,0x1805e1c7683929768c541c142d541224f1076737,0x83ccd3f538feaed9d26d0f826b834b4fe442ccc1,,,
,,long,,73475.0,,2026-03-16T07:57:02.486991+00:00,hyperliquid,BTC,0.00492,361.497,0x1805e1c7683929768c541c142d541224f1076737,0x83ccd3f538feaed9d26d0f826b834b4fe442ccc1,,,
,,long,,73472.0,,2026-03-16T08:00:31.393898+00:00,hyperliquid,BTC,0.00492,361.48224,0x1805e1c7683929768c541c142d541224f1076737,0xa62b923a112d50d03e1e096bbd53422490dac104,,,
,,long,,73472.0,,2026-03-16T08:00:31.400931+00:00,hyperliquid,BTC,0.00492,361.48224,0x1805e1c7683929768c541c142d541224f1076737,0xa62b923a112d50d03e1e096bbd53422490dac104,,,
,,long,,73465.0,,2026-03-16T07:57:31.452722+00:00,hyperliquid,BTC,0.00492,361.4478,0x1805e1c7683929768c541c142d541224f1076737,0xaf2ac71f62f341e5823d6985492409e92c940447,,,
,,long,,73465.0,,2026-03-16T07:57:31.459510+00:00,hyperliquid,BTC,0.00492,361.4478,0x1805e1c7683929768c541c142d541224f1076737,0xaf2ac71f62f341e5823d6985492409e92c940447,,,
,,long,,73614.0,,2026-03-16T08:03:31.373048+00:00,hyperliquid,BTC,0.00491,361.44474,0x1805e1c7683929768c541c142d541224f1076737,0x4d969e59b312970cc07af266938a4433ccae0b4c,,,
,,long,,73614.0,,2026-03-16T08:03:31.395533+00:00,hyperliquid,BTC,0.00491,361.44474,0x1805e1c7683929768c541c142d541224f1076737,0x4d969e59b312970cc07af266938a4433ccae0b4c,,,
,,long,,73462.0,,2026-03-16T07:58:01.260568+00:00,hyperliquid,BTC,0.00492,361.43304,0x1805e1c7683929768c541c142d541224f1076737,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,,long,,73462.0,,2026-03-16T07:58:01.386941+00:00,hyperliquid,BTC,0.00492,361.43304,0x1805e1c7683929768c541c142d541224f1076737,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,,long,,73460.0,,2026-03-16T07:59:01.648619+00:00,hyperliquid,BTC,0.00492,361.4232,0x1805e1c7683929768c541c142d541224f1076737,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,long,,73460.0,,2026-03-16T07:59:01.696571+00:00,hyperliquid,BTC,0.00492,361.4232,0x1805e1c7683929768c541c142d541224f1076737,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,long,,73458.0,,2026-03-16T07:56:32.177014+00:00,hyperliquid,BTC,0.00492,361.41336,0x1805e1c7683929768c541c142d541224f1076737,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,long,,73458.0,,2026-03-16T07:56:32.210370+00:00,hyperliquid,BTC,0.00492,361.41336,0x1805e1c7683929768c541c142d541224f1076737,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,,,
,,long,,73588.0,,2026-03-16T08:01:01.785161+00:00,hyperliquid,BTC,0.00491,361.31708000000003,0x1805e1c7683929768c541c142d541224f1076737,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,,,
,,long,,73588.0,,2026-03-16T08:01:01.872235+00:00,hyperliquid,BTC,0.00491,361.31708000000003,0x1805e1c7683929768c541c142d541224f1076737,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,,,
