symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,exchange,order_type,avg_price,order_status
,long,,73324.0,,2026-03-16T10:06:29.326592+00:00,hyperliquid,BTC,0.0559,4098.8116,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x4d969e59b312970cc07af266938a4433ccae0b4c,,,,
,long,,73329.0,,2026-03-16T10:09:58.407905+00:00,hyperliquid,BTC,0.05336,3912.83544,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73329.0,,2026-03-16T10:09:58.421994+00:00,hyperliquid,BTC,0.05336,3912.83544,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73328.0,,2026-03-16T10:13:28.722198+00:00,hyperliquid,BTC,0.0523,3835.0544,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x4f965bea84add66023e7ef0458111a1a80e50bb7,,,,
,long,,73328.0,,2026-03-16T10:13:28.731144+00:00,hyperliquid,BTC,0.0523,3835.0544,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x4f965bea84add66023e7ef0458111a1a80e50bb7,,,,
,long,,73324.0,,2026-03-16T10:09:27.434489+00:00,hyperliquid,BTC,0.0469,3438.8956,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73324.0,,2026-03-16T10:09:27.439042+00:00,hyperliquid,BTC,0.0469,3438.8956,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73318.0,,2026-03-16T10:06:58.049997+00:00,hyperliquid,BTC,0.04657,3414.41926,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6,,,,
,long,,73318.0,,2026-03-16T10:06:58.052035+00:00,hyperliquid,BTC,0.04657,3414.41926,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6,,,,
,long,,73330.0,,2026-03-16T10:10:28.133180+00:00,hyperliquid,BTC,0.04565,3347.5145,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,,
,long,,73330.0,,2026-03-16T10:10:28.138194+00:00,hyperliquid,BTC,0.04565,3347.5145,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,,
,long,,73310.0,,2026-03-16T10:13:58.127677+00:00,hyperliquid,BTC,0.04544,3331.2064,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x5bcbbb10358ddb623593e51f499568ea54c2aeed,,,,
,long,,73310.0,,2026-03-16T10:13:58.130705+00:00,hyperliquid,BTC,0.04544,3331.2064,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x5bcbbb10358ddb623593e51f499568ea54c2aeed,,,,
,long,,73297.0,,2026-03-16T10:12:29.421290+00:00,hyperliquid,BTC,0.03759,2755.23423,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,,
,long,,73297.0,,2026-03-16T10:12:29.760362+00:00,hyperliquid,BTC,0.03759,2755.23423,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,,
,long,,73381.0,,2026-03-16T10:04:58.449577+00:00,hyperliquid,BTC,0.03433,2519.16973,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xc8264ebc379e26946e7d31ae4746c27182849755,,,,
,long,,73381.0,,2026-03-16T10:04:58.574454+00:00,hyperliquid,BTC,0.03433,2519.16973,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xc8264ebc379e26946e7d31ae4746c27182849755,,,,
,long,,73310.0,,2026-03-16T10:13:58.128156+00:00,hyperliquid,BTC,0.0339,2485.209,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xe92cdf7b804a836a71219cda2b00274d57ac030f,,,,
,long,,73310.0,,2026-03-16T10:13:58.131172+00:00,hyperliquid,BTC,0.0339,2485.209,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xe92cdf7b804a836a71219cda2b00274d57ac030f,,,,
,long,,73330.0,,2026-03-16T10:10:28.132785+00:00,hyperliquid,BTC,0.03369,2470.4876999999997,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x13558be785661958932ceac35ba20de187275a42,,,,
,long,,73330.0,,2026-03-16T10:10:28.137787+00:00,hyperliquid,BTC,0.03369,2470.4876999999997,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x13558be785661958932ceac35ba20de187275a42,,,,
,long,,73318.0,,2026-03-16T10:06:58.050500+00:00,hyperliquid,BTC,0.03277,2402.63086,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x2df8f8d2468f23885609b868d3c6398a1b16f43d,,,,
,long,,73318.0,,2026-03-16T10:06:58.052524+00:00,hyperliquid,BTC,0.03277,2402.63086,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x2df8f8d2468f23885609b868d3c6398a1b16f43d,,,,
,long,,73381.0,,2026-03-16T10:04:58.450220+00:00,hyperliquid,BTC,0.03201,2348.9258099999997,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6,,,,
,long,,73381.0,,2026-03-16T10:04:58.574863+00:00,hyperliquid,BTC,0.03201,2348.9258099999997,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6,,,,
,long,,73328.0,,2026-03-16T10:13:28.722791+00:00,hyperliquid,BTC,0.02704,1982.7891200000001,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,,
,long,,73328.0,,2026-03-16T10:13:28.731582+00:00,hyperliquid,BTC,0.02704,1982.7891200000001,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,,
,long,,73336.0,,2026-03-16T10:09:44.698524+00:00,hyperliquid,BTC,0.02593,1901.60248,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xc8264ebc379e26946e7d31ae4746c27182849755,,,,
,long,,73336.0,,2026-03-16T10:09:44.821635+00:00,hyperliquid,BTC,0.02593,1901.60248,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xc8264ebc379e26946e7d31ae4746c27182849755,,,,
,long,,73327.0,,2026-03-16T10:09:58.406469+00:00,hyperliquid,BTC,0.02563,1879.37101,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,,,
,long,,73327.0,,2026-03-16T10:09:58.421054+00:00,hyperliquid,BTC,0.02563,1879.37101,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,,,
,long,,73289.0,,2026-03-16T10:08:15.074650+00:00,hyperliquid,BTC,0.02416,1770.66224,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,,
,long,,73289.0,,2026-03-16T10:08:16.213055+00:00,hyperliquid,BTC,0.02416,1770.66224,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,,
,long,,73324.0,,2026-03-16T10:06:29.289150+00:00,hyperliquid,BTC,0.02344,1718.71456,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xf58b673c1633ccef0ac58263cdc95ed80f817fc7,,,,
,long,,73324.0,,2026-03-16T10:06:29.326955+00:00,hyperliquid,BTC,0.02344,1718.71456,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xf58b673c1633ccef0ac58263cdc95ed80f817fc7,,,,
,long,,73324.0,,2026-03-16T10:06:44.299563+00:00,hyperliquid,BTC,0.02266,1661.5218399999999,0xd0a68c9cb43dd31195f5b7ea92f4e3907a5deb55,0xadc9cf23f55c6221a05a8150e5768d7c3289562f,,,,
