symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,address,pnl
BTC,SHORT,27.18,73448.0,0.00037,1773632009980,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25.69,73400.0,0.00035,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,24.96,73400.0,0.00034,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,24.22,73400.0,0.00033,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,24.22,73400.0,0.00033,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,24.22,73400.0,0.00033,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,22.75,73403.0,0.00031,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,22.75,73400.0,0.00031,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,22.03,73448.0,0.0003,1773632009980,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,21.3,73448.0,0.00029,1773632009980,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,21.29,73409.0,0.00029,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,21.29,73400.0,0.00029,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,21.29,73399.0,0.00029,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,21.29,73399.0,0.00029,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,20.57,73452.0,0.00028,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,20.55,73400.0,0.00028,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,18.35,73405.0,0.00025,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,18.35,73400.0,0.00025,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,18.32,73280.0,0.00025,1773631935842,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,18.31,73250.0,0.00025,1773631880428,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,17.62,73400.0,0.00024,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16.88,73409.0,0.00023,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16.88,73400.0,0.00023,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16.88,73400.0,0.00023,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16.88,73400.0,0.00023,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16.85,73250.0,0.00023,1773631880428,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16.16,73468.0,0.00022,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16.15,73409.0,0.00022,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16.15,73409.0,0.00022,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16.15,73400.0,0.00022,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,14.68,73400.0,0.0002,1773631994446,hyperliquid,hyperliquid,,,,,,,,
